function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
adapt_response_class,train13,1,1,1,0,4,71518,71520,71354,52,44598,26868,5946,3713,15921,9216,147456,12,960,4096,0,3712,1588,2560,20480,204800,11040,3668,1920,1280,2964,513,1,16,36,32,42646,1920,4,7226,19638,1,4,0,2048
adapt_response_class,train13,1,2,0,0,4,63092,63094,63020,24,39500,23568,3176,3696,15408,13323,213168,12,672,3690,4801,4364,1588,2560,18450,184500,11040,3668,1920,1280,0,0,1,12,12,32,37548,1920,4,4456,19108,1,4,0,1845
adapt_response_class,train13,1,2,1,0,4,74730,74732,74590,52,47798,26880,5963,3713,15916,13322,213152,12,672,3690,4800,4364,1588,2560,18450,184500,11040,3668,1920,1280,4246,508,1,16,36,32,45846,1920,4,7243,19633,1,4,0,1845
adapt_response_class,train13,1,2,0,0,4,59282,59284,59210,24,35690,23568,3176,3696,15408,13233,211728,12,672,3754,4647,3692,1588,2560,13779,137790,11040,3668,1920,1280,0,0,1,12,12,32,33738,1920,4,4456,19108,1,4,1,2403
adapt_response_class,train13,1,2,1,0,4,70979,70983,70839,52,44049,26878,5962,3714,15914,13233,211728,12,672,3754,4647,3692,1588,2560,13779,137790,11040,3668,1920,1280,4282,506,1,16,36,32,42097,1920,4,7242,19632,3,4,1,2403
adapt_response_class,train13,1,3,0,0,4,62763,62765,62691,24,39171,23568,3176,3696,15408,13319,213104,12,672,3656,4831,4378,1588,2560,18280,182800,11040,3668,1920,1280,0,0,1,12,12,32,37219,1920,4,4456,19108,1,4,0,1828
adapt_response_class,train13,1,3,1,0,4,74532,74534,74391,52,47598,26882,5963,3714,15917,13316,213056,12,672,3656,4828,4378,1588,2560,18280,182800,11040,3668,1920,1280,4221,509,1,16,36,32,45646,1920,4,7243,19635,1,4,0,1828
adapt_response_class,train13,1,3,0,0,4,59138,59140,59066,24,35546,23568,3176,3696,15408,13216,211456,12,672,3720,4664,3683,1588,2560,13689,136890,11040,3668,1920,1280,0,0,1,12,12,32,33594,1920,4,4456,19108,1,4,1,2373
adapt_response_class,train13,1,3,1,0,4,70902,70905,70761,52,43957,26893,5974,3714,15917,13216,211456,12,672,3720,4664,3683,1588,2560,13689,136890,11040,3668,1920,1280,4436,509,1,16,36,32,42005,1920,4,7254,19635,2,4,1,2373
adapt_response_class,train14,1,1,0,0,4,65016,65018,64928,24,41856,23136,3176,4008,14664,9248,147968,12,960,4096,0,3712,1588,2592,20480,204800,10360,3980,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,18676,1,4,0,2048
