case	real	p4f2	reduce	stress	start_to_complete_beats	issue_beats	commits	scalar_members	packets	source_gap_beats	input_backpressure_beats	output_backpressure_beats	read_responses
v000_zurich_city_09_a_0001_s2b3_time_rows_P8F1_p516_h633	1	0	1	1	1848	1751	1751	2583	96	0	1679	154	112
v000_zurich_city_09_a_0001_s2b3_onehot7_P4F2_p516_h633	1	1	0	0	2230	2133	1566	2133	96	0	2109	0	112
v000_zurich_city_09_a_0001_s2b3_onehot7_P4F2_p516_h633	1	1	0	1	2230	2133	1566	2133	96	0	2034	153	112
v000_zurich_city_09_a_0001_s2b3_onehot7_P4F2_p516_h633	1	1	1	0	1663	1566	1566	2133	96	0	1550	0	112
v000_zurich_city_09_a_0001_s2b3_onehot7_P4F2_p516_h633	1	1	1	1	1665	1566	1566	2133	96	2	1480	152	112
v000_zurich_city_09_a_0001_s2b3_time_rows_P4F2_p516_h633	1	1	0	0	2666	2569	1750	2569	96	0	2541	0	112
v000_zurich_city_09_a_0001_s2b3_time_rows_P4F2_p516_h633	1	1	0	1	2666	2569	1750	2569	96	0	2484	154	112
v000_zurich_city_09_a_0001_s2b3_time_rows_P4F2_p516_h633	1	1	1	0	1847	1750	1750	2569	96	0	1734	0	112
v000_zurich_city_09_a_0001_s2b3_time_rows_P4F2_p516_h633	1	1	1	1	1847	1750	1750	2569	96	0	1677	150	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P8F1_p692_h844	1	0	0	0	1922	1825	1445	1825	96	0	1798	0	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P8F1_p692_h844	1	0	0	1	1924	1825	1445	1825	96	2	1746	152	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P8F1_p692_h844	1	0	1	0	1542	1445	1445	1825	96	0	1426	0	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P8F1_p692_h844	1	0	1	1	1542	1445	1445	1825	96	0	1369	154	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P8F1_p692_h844	1	0	0	0	3124	3027	2121	3027	96	0	2989	0	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P8F1_p692_h844	1	0	0	1	3124	3027	2121	3027	96	0	2940	152	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P8F1_p692_h844	1	0	1	0	2218	2121	2121	3027	96	0	2103	0	112
v000_zurich_city_09_a_0001_s2b4_time_rows_P8F1_p692_h844	1	0	1	1	2218	2121	2121	3027	96	0	2032	154	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P4F2_p692_h844	1	1	0	0	1889	1792	1428	1792	96	0	1764	0	112
v000_zurich_city_09_a_0001_s2b4_onehot7_P4F2_p692_h844	1	1	0	1	1890	1792	1428	1792	96	1	1688	154	112
