case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	2	1	1	7455	7448	288	2867	0	695	6666	5069	52	942	0	36	16	2496	2	4	4	4	0	3	96	2771	0	0	51	377	377	425	425	235	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	0	0	2675	2668	288	2826	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	0	1	7371	7364	288	2826	51	695	6666	5069	34	917	0	42	13	2496	2	4	3	4	0	3	4	2822	0	0	0	377	377	386	386	11	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	1	0	2675	2668	288	2826	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	4	2822	0	0	0	377	377	386	386	3	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	3	1	1	7360	7353	288	2826	51	695	6666	5069	34	917	0	33	12	2496	2	4	3	4	0	3	4	2822	0	0	0	377	377	386	386	11	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	0	0	2651	2644	288	2822	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1	0	2822	0	0	0	377	377	384	384	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	0	1	7368	7361	288	2822	51	695	10211	7710	45	914	0	35	22	2304	2	4	3	4	3	0	0	2822	0	0	0	377	377	384	384	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	1	0	2649	2642	288	2822	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	0	2822	0	0	0	377	377	384	384	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	1	1	7357	7350	288	2822	51	695	10211	7710	45	914	0	30	20	2304	2	4	3	4	3	0	0	2822	0	0	0	377	377	384	384	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	0	0	7150	7143	288	8819	0	695	10211	7710	0	0	0	0	5	2304	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	0	1	22055	22048	288	8819	0	695	10211	7710	55	3025	0	42	31	2304	2	4	4	4	3	0	6048	2771	17030	245	51	377	377	1133	1133	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	1	0	7150	7143	288	8819	0	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	1	1	22044	22037	288	8819	0	695	10211	7710	55	3025	0	37	23	2304	1	4	4	4	3	0	6048	2771	17030	245	51	377	377	1133	1133	0	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	2	0	0	2722	2715	288	2867	0	695	10211	7710	0	0	4	0	3	2304	2	4	4	4	2	0	96	2771	0	0	51	377	377	425	425	72	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	2	0	1	7482	7475	288	2867	0	695	10211	7710	41	925	0	34	16	2304	2	4	3	4	3	0	96	2771	0	0	51	377	377	425	425	241	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	2	1	0	2714	2707	288	2867	0	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	96	2771	0	0	51	377	377	425	425	72	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	2	1	1	7482	7475	288	2867	0	695	10211	7710	41	925	0	29	15	2304	2	4	3	4	3	0	96	2771	0	0	51	377	377	425	425	241	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	0	0	2651	2644	288	2826	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	0	1	7387	7380	288	2826	51	695	10211	7710	47	899	0	22	21	2304	2	4	3	4	3	0	4	2822	0	0	0	377	377	386	386	12	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	1	0	2649	2642	288	2826	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	4	2822	0	0	0	377	377	386	386	3	92
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	3	1	1	7387	7380	288	2826	51	695	10211	7710	47	899	0	31	19	2304	2	4	3	4	3	0	4	2822	0	0	0	377	377	386	386	12	92
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	0	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	0	1	7729	7722	288	2986	40	740	9045	6485	28	978	0	18	7	2656	2	4	3	4	0	1	0	2986	0	0	0	377	381	384	384	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	1	0	2785	2778	288	2986	40	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	0	2986	0	0	0	377	381	384	384	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	0	1	1	7729	7722	288	2986	40	740	9045	6485	28	978	0	18	7	2656	2	4	3	4	0	1	0	2986	0	0	0	377	381	384	384	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	0	0	7285	7278	288	9026	0	740	9045	6485	0	0	0	0	0	2656	2	4	4	4	0	0	6080	2946	10763	86	40	377	381	1133	1145	0	103
v000_zurich_city_09_a_0001_s2b3_p408_h633_1366_packed_class	1	0	1	0	1	22473	22466	288	9026	0	740	9045	6485	41	3005	0	35	10	2656	1	4	4	4	0	1	6080	2946	17739	86	40	377	381	1133	1145	0	103
