bundle,scope_type,scope,tokens,bundle_count,ordinary_lru_capacity_rows,baseline_weight_row_fetches,candidate_weight_row_fetches,baseline_weight_fetch_bytes,candidate_weight_fetch_bytes,weight_fetch_reduction,weight_fetch_ratio,compute_issue_cycles,commit_cycles,baseline_weight_cycles,candidate_weight_cycles,baseline_roofline_cycles,candidate_roofline_cycles,roofline_cycle_speedup,fetch_ratio_is_cycle_speedup
8,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,960000,8,147444185,21728473,905897072640,133499738112,0.8526325538033257,6.785759174149053,151085880,30720000,7130454144,1045034112,7130454144,1045034112,6.823178365301056,False
8,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc2,7680000,960000,8,48921729,12466016,300575102976,76591202304,0.7451844762068813,3.9244076856631662,52580388,7680000,2401436928,614663424,2401436928,614663424,3.9069136607679456,False
8,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,960000,8,141990945,21892455,872392366080,134507243520,0.8458179498699723,6.485839299429872,144244892,30720000,6912076800,1054003200,6912076800,1054003200,6.557927717866511,False
8,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc2,7680000,960000,8,34907173,14604569,214469670912,89730471936,0.5816169645132822,2.3901542729538954,42200397,7680000,1796083200,734519808,1796083200,734519808,2.445248147753151,False
8,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,240000,8,48017361,12010647,295018665984,73793415168,0.7498686568801647,3.9978996135678617,48927360,15360000,2357827968,593013504,2357827968,593013504,3.976010583394742,False
8,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc2,1920000,240000,8,58617564,13154477,360146313216,80821106688,0.7755881325945241,4.456092325069252,58795050,3840000,2909877504,644890368,2909877504,644890368,4.512204939615411,False
8,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,240000,8,86284636,18461642,530132803584,113428328448,0.7860378990299037,4.673724904859492,86496592,15360000,4245144192,896019840,4245144192,896019840,4.737779234888371,False
8,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc2,1920000,240000,8,48140570,13206181,295775662080,81138776064,0.7256746025234018,3.6453059366670804,48357510,3840000,2420027904,648278400,2420027904,648278400,3.733007152482637,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc1,480000,60000,8,112612672,20444784,691892256768,125612752896,0.8184504138219898,5.508137038767443,112952416,7680000,5499027456,990793728,5499027456,990793728,5.5501234016693335,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc2,480000,60000,8,68180523,14989867,418901133312,92097742848,0.7801444409571338,4.548440823390894,68578376,1920000,3320711424,726586752,3320711424,726586752,4.57028897768838,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc1,480000,60000,8,109926736,21308096,675389865984,130916941824,0.8061609324959853,5.158918750882294,109951344,7680000,5454403584,1034797056,5454403584,1034797056,5.270988695197834,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc2,480000,60000,8,29176422,9420438,179259936768,57879171072,0.6771215469806408,3.0971407061964635,29192712,1920000,1427651712,462762240,1427651712,462762240,3.0850652637518565,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc1,480000,60000,8,132528736,22403600,814256553984,137647718400,0.8309528885871212,5.915510721491189,132648320,7680000,6495006720,1083543552,6495006720,1083543552,5.9942276505744,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc2,480000,60000,8,45371303,13705659,278761285632,84207568896,0.6979222968315457,3.310406526238541,45387700,1920000,2256882816,670042368,2256882816,670042368,3.368268819681564,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,60000,8,154458784,22904736,948994768896,140726697984,0.8517097221223754,6.743530420957482,155680528,7680000,7693473792,1103253504,7693473792,1103253504,6.973441520109597,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc2,480000,60000,8,40626723,9870316,249610586112,60643221504,0.7570486795107743,4.116050894419185,40654516,1920000,1997771904,480294528,1997771904,480294528,4.159472547644765,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,60000,8,137375680,21856448,844036177920,134286016512,0.8409001651529586,6.285361647052623,138346928,7680000,6879940608,1066389504,6879940608,1066389504,6.451620709125059,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc2,480000,60000,8,52612354,14795357,323250302976,90902673408,0.7187854966535046,3.5560043600164564,52630316,1920000,2666599296,727208448,2666599296,727208448,3.666898127124068,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,60000,8,161949488,22940912,995017654272,140948963328,0.8583452638022542,7.059418038829493,162417664,7680000,8031086592,1103634432,8031086592,1103634432,7.27694457434253,False
8,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc2,480000,60000,8,42700866,11063045,262354120704,67971348480,0.7409175495410327,3.859775134241974,42723772,1920000,2088024576,541242240,2088024576,541242240,3.8578374370780817,False
8,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,15000,8,98990720,18341536,608198983680,112690397184,0.8147145914283682,5.397079066878586,99024736,3840000,4888731648,891998208,4888731648,891998208,5.480651871444119,False
8,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc2,120000,15000,8,76121934,16675867,467693162496,102456526848,0.7809321686440599,4.564796181212047,76134544,960000,3766867200,807969408,3766867200,807969408,4.662140871551414,False
8,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,15000,8,97750272,19579808,600577671168,120298340352,0.7996956161922496,4.992401968395196,98006400,3840000,4925546496,967962624,4925546496,967962624,5.088570957053813,False
8,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc2,120000,15000,8,48084530,12778270,295431352320,78509690880,0.7342540313901373,3.7629921734319276,48098280,960000,2373893376,623716992,2373893376,623716992,3.8060424943497453,False
8,sequence,interlaken_01_a,11160000,1395000,8,492064349,97321425,3023243360256,597942835200,0.8022180936339284,5.056074230314651,498132808,45600000,24331661184,4747698816,24331661184,4747698816,5.124937812398923,False
8,sequence,thun_01_b,11160000,1395000,8,500623803,98607844,3075832645632,605846593536,0.8030300528878368,5.076916629472195,506774016,45600000,24732307200,4809843840,24732307200,4809843840,5.142018747951701,False
8,sequence,zurich_city_09_a,11160000,1395000,8,514954265,101988348,3163879004160,626616410112,0.8019467845362928,5.049148016398893,519993279,45600000,25437353856,4960785792,25437353856,4960785792,5.127686403436627,False
8,sequence,zurich_city_12_a,11160000,1395000,8,515149489,102685582,3165078460416,630900215808,0.8006683803582304,5.016765537736349,520216518,45600000,25437225600,4994289792,25437225600,4994289792,5.09326183689743,False
