case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p4,1,0,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p4,1,0,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p4,1,0,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p4,1,0,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p4,1,0,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p4,1,0,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p4,1,0,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p4,1,0,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p4,1,0,2,0,0,0,1263,57,5700,223,114,88,0,5,0,0,1,21,21,6,182,0,171,57,570,171,57,0,6,1
train0_p4,1,0,2,0,1,0,1259,57,5700,209,114,74,0,55,0,0,1,21,21,6,178,0,171,57,570,171,57,0,6,1
train0_p4,1,0,2,0,1,1,1211,57,5700,249,114,114,103,400,0,0,1,21,21,6,130,0,171,57,570,171,57,0,6,1
train0_p4,1,0,2,1,0,0,1709,57,5700,223,114,88,0,5,80,3,1,30,57,6,356,0,395,57,570,171,57,0,9,1
train0_p4,1,0,2,1,1,0,1624,57,5700,209,114,74,0,55,54,3,1,30,57,6,304,0,362,57,570,171,57,0,9,1
train0_p4,1,0,2,1,1,1,1452,57,5700,249,114,114,103,400,80,0,1,30,57,6,148,0,349,57,570,171,57,0,6,1
train0_p4,1,0,3,0,0,0,1262,57,5700,220,114,85,0,4,0,0,1,21,21,6,181,0,171,57,570,171,57,0,6,1
train0_p4,1,0,3,0,1,0,1261,57,5700,209,114,74,0,30,0,0,1,21,21,6,180,0,171,57,570,171,57,0,6,1
train0_p4,1,0,3,0,1,1,1211,57,5700,245,114,110,100,409,0,0,1,21,21,6,130,0,171,57,570,171,57,0,6,1
train0_p4,1,0,3,1,0,0,1656,57,5700,220,114,85,0,4,68,5,1,27,54,6,336,0,366,57,570,171,57,0,11,1
train0_p4,1,0,3,1,1,0,1611,57,5700,209,114,74,0,30,65,4,1,27,54,6,304,0,354,57,570,171,57,0,10,1
train0_p4,1,0,3,1,1,1,1472,57,5700,245,114,110,100,406,88,4,1,27,54,6,161,0,358,57,570,171,57,0,10,1
train0_p4,1,1,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p4,1,1,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p4,1,1,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p4,1,1,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p4,1,1,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p4,1,1,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p4,1,1,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p4,1,1,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p4,1,1,2,0,0,0,1111,50,5000,211,100,90,0,22,0,0,1,21,21,6,156,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,0,1,0,1102,50,5000,192,100,71,0,55,0,0,1,21,21,6,147,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,0,1,1,1066,50,5000,224,100,103,96,340,0,0,1,21,21,6,111,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,1,0,0,1489,50,5000,211,100,90,0,22,75,2,1,30,57,6,306,0,331,50,500,150,50,0,8,1
train0_p4,1,1,2,1,1,0,1441,50,5000,192,100,71,0,55,74,0,1,30,57,6,266,0,325,50,500,150,50,0,6,1
train0_p4,1,1,2,1,1,1,1294,50,5000,224,100,103,96,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,3,0,0,0,1114,50,5000,213,100,92,0,9,0,0,1,21,21,6,159,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,0,1,0,1101,50,5000,190,100,69,0,57,0,0,1,21,21,6,146,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,0,1,1,1065,50,5000,218,100,97,91,341,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,1,0,0,1467,50,5000,213,100,92,0,9,74,9,1,27,54,6,306,0,308,50,500,150,50,0,15,1
train0_p4,1,1,3,1,1,0,1423,50,5000,190,100,69,0,57,50,2,1,27,54,6,255,0,322,50,500,150,50,0,8,1
train0_p4,1,1,3,1,1,1,1291,50,5000,218,100,97,91,341,75,5,1,27,54,6,124,0,318,50,500,150,50,0,11,1
