case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p2,1,1,2,0,1,1,1,1,0,970,56,45,399,3990,210,96,93,79,8,0,4,320,0,0,1,21,21,6,109,0,131,45,450,135,45,0,6,1
train0_p2,1,1,2,0,1,1,1,1,1,965,56,45,399,3990,214,96,97,89,8,0,4,335,0,0,1,21,21,6,104,0,131,45,450,135,45,0,6,1
train0_p2,1,1,2,1,1,1,0,1,0,1247,48,48,480,4800,212,96,95,88,0,0,4,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,0,1,1,1247,48,48,480,4800,212,96,95,88,0,0,4,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,1,0,0,1243,56,45,399,3990,226,112,93,79,0,8,2,320,80,4,1,30,57,6,148,0,316,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,0,1,1219,56,45,399,3990,230,112,97,89,0,8,2,335,87,4,1,30,57,6,117,0,323,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,1,0,1214,56,45,399,3990,210,96,93,79,8,0,4,320,81,4,1,30,57,6,142,0,293,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,1,1,1187,56,45,399,3990,214,96,97,89,8,0,4,335,82,5,1,30,57,6,118,0,289,45,450,135,45,0,11,1
train0_p2,1,1,3,0,1,1,0,1,0,1024,48,48,480,4800,211,96,94,88,0,0,4,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,0,1,1,1024,48,48,480,4800,211,96,94,88,0,0,4,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,1,1,0,969,56,45,399,3990,208,96,91,78,8,0,4,321,0,0,1,21,21,6,108,0,131,45,450,135,45,0,6,1
train0_p2,1,1,3,0,1,1,1,1,1,964,56,45,399,3990,214,96,97,90,8,0,4,332,0,0,1,21,21,6,103,0,131,45,450,135,45,0,6,1
train0_p2,1,1,3,1,1,1,0,1,0,1239,48,48,480,4800,211,96,94,88,0,0,4,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,0,1,1,1239,48,48,480,4800,211,96,94,88,0,0,4,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,1,1,0,1192,56,45,399,3990,208,96,91,78,8,0,4,321,59,0,1,27,54,6,133,0,290,45,450,135,45,0,6,1
train0_p2,1,1,3,1,1,1,1,1,1,1175,56,45,399,3990,214,96,97,90,8,0,4,332,64,2,1,27,54,6,119,0,285,45,450,135,45,0,8,1
train0_p3,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
