case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p1,1,1,3,0,1,1,0,0,1,1045,49,49,490,4900,213,98,94,88,0,0,1,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,0,1,0,1045,49,49,490,4900,213,98,94,88,0,0,4,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,0,1,1,1045,49,49,490,4900,213,98,94,88,0,0,4,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,1,0,0,999,58,46,403,4030,227,116,90,73,0,9,2,311,0,0,1,21,21,6,112,0,142,46,460,138,46,0,6,1
train0_p1,1,1,3,0,1,1,1,0,1,992,58,46,403,4030,234,116,97,90,0,9,2,338,0,0,1,21,21,6,105,0,142,46,460,138,46,0,6,1
train0_p1,1,1,3,0,1,1,1,1,0,989,58,46,403,4030,209,98,90,73,9,0,4,311,0,0,1,21,21,6,112,0,132,46,460,138,46,0,6,1
train0_p1,1,1,3,0,1,1,1,1,1,982,58,46,403,4030,216,98,97,90,9,0,4,338,0,0,1,21,21,6,105,0,132,46,460,138,46,0,6,1
train0_p1,1,1,3,1,1,1,0,0,0,1269,49,49,490,4900,213,98,94,88,0,0,1,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,0,0,1,1269,49,49,490,4900,213,98,94,88,0,0,1,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,0,1,0,1269,49,49,490,4900,213,98,94,88,0,0,4,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,0,1,1,1269,49,49,490,4900,213,98,94,88,0,0,4,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,1,0,0,1243,58,46,403,4030,227,116,90,73,0,9,2,311,66,3,1,27,54,6,139,0,317,46,460,138,46,0,9,1
train0_p1,1,1,3,1,1,1,1,0,1,1208,58,46,403,4030,234,116,97,90,0,9,2,338,79,5,1,27,54,6,114,0,305,46,460,138,46,0,11,1
train0_p1,1,1,3,1,1,1,1,1,0,1199,58,46,403,4030,209,98,90,73,9,0,4,311,68,4,1,27,54,6,133,0,278,46,460,138,46,0,10,1
train0_p1,1,1,3,1,1,1,1,1,1,1184,58,46,403,4030,216,98,97,90,9,0,4,338,78,3,1,27,54,6,117,0,280,46,460,138,46,0,9,1
train0_p2,1,1,1,0,1,1,0,0,0,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,0,1,1,0,0,1,1297,64,64,640,6400,158,128,0,116,0,0,1,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,1,1,1,0,0,0,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,1,1,1,1,0,0,1,1379,64,64,640,6400,158,128,0,116,0,0,1,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,2,0,1,1,0,0,0,1025,48,48,480,4800,212,96,95,88,0,0,1,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,0,0,1,1025,48,48,480,4800,212,96,95,88,0,0,1,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,0,1,0,1025,48,48,480,4800,212,96,95,88,0,0,4,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,0,1,1,1025,48,48,480,4800,212,96,95,88,0,0,4,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,1,0,0,980,56,45,399,3990,226,112,93,79,0,8,2,320,0,0,1,21,21,6,109,0,141,45,450,135,45,0,6,1
train0_p2,1,1,2,0,1,1,1,0,1,975,56,45,399,3990,230,112,97,89,0,8,2,335,0,0,1,21,21,6,104,0,141,45,450,135,45,0,6,1
train0_p2,1,1,2,0,1,1,1,1,0,970,56,45,399,3990,210,96,93,79,8,0,4,320,0,0,1,21,21,6,109,0,131,45,450,135,45,0,6,1
train0_p2,1,1,2,0,1,1,1,1,1,965,56,45,399,3990,214,96,97,89,8,0,4,335,0,0,1,21,21,6,104,0,131,45,450,135,45,0,6,1
train0_p2,1,1,2,1,1,1,0,0,0,1247,48,48,480,4800,212,96,95,88,0,0,1,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,0,0,1,1247,48,48,480,4800,212,96,95,88,0,0,1,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,0,1,0,1247,48,48,480,4800,212,96,95,88,0,0,4,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,0,1,1,1247,48,48,480,4800,212,96,95,88,0,0,4,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,1,0,0,1243,56,45,399,3990,226,112,93,79,0,8,2,320,80,4,1,30,57,6,148,0,316,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,0,1,1219,56,45,399,3990,230,112,97,89,0,8,2,335,87,4,1,30,57,6,117,0,323,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,1,0,1214,56,45,399,3990,210,96,93,79,8,0,4,320,81,4,1,30,57,6,142,0,293,45,450,135,45,0,10,1
train0_p2,1,1,2,1,1,1,1,1,1,1187,56,45,399,3990,214,96,97,89,8,0,4,335,82,5,1,30,57,6,118,0,289,45,450,135,45,0,11,1
train0_p2,1,1,3,0,1,1,0,0,0,1024,48,48,480,4800,211,96,94,88,0,0,1,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,0,0,1,1024,48,48,480,4800,211,96,94,88,0,0,1,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,0,1,0,1024,48,48,480,4800,211,96,94,88,0,0,4,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,0,1,1,1024,48,48,480,4800,211,96,94,88,0,0,4,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,1,0,0,979,56,45,399,3990,224,112,91,78,0,8,2,321,0,0,1,21,21,6,108,0,141,45,450,135,45,0,6,1
train0_p2,1,1,3,0,1,1,1,0,1,974,56,45,399,3990,230,112,97,90,0,8,2,332,0,0,1,21,21,6,103,0,141,45,450,135,45,0,6,1
train0_p2,1,1,3,0,1,1,1,1,0,969,56,45,399,3990,208,96,91,78,8,0,4,321,0,0,1,21,21,6,108,0,131,45,450,135,45,0,6,1
