layer,spikes,elements,firing_rate,dense_flops,effective_flops,synops,energy_j,op_type
sttmultires_unet.encoders.swin3d.patch_embed.proj.sn,138592969,1061683200,0.13054079503188898,45864714240.0,5987216260.799999,138592969,0.0001247336721,accumulate
sttmultires_unet.encoders.swin3d.patch_embed.residual_encoding.resblocks.0.sn1,111269370,1061683200,0.10480468184859665,45864714240.0,4806836784.0,111269370,0.000100142433,accumulate
sttmultires_unet.encoders.swin3d.patch_embed.residual_encoding.resblocks.0.sn2,88273921,1061683200,0.08314525557153019,45864714240.0,3813433387.2,88273921,7.944652890000001e-05,accumulate
sttmultires_unet.encoders.swin3d.patch_embed.residual_encoding.resblocks.1.sn1,123381654,1061683200,0.1162132489239728,45864714240.0,5330087452.8,123381654,0.0001110434886,accumulate
sttmultires_unet.encoders.swin3d.patch_embed.residual_encoding.resblocks.1.sn2,91606975,1061683200,0.08628466099868586,45864714240.0,3957421320.0,91606975,8.24462775e-05,accumulate
sttmultires_unet.preds.0.sn,5290094,66355200,0.07972387996720678,59719680.0,4761084.6,5290094,4.7610846e-06,accumulate
sttmultires_unet.preds.1.sn,12628609,132710400,0.095159151053723,119439360.0,11365748.1,12628609,1.13657481e-05,accumulate
sttmultires_unet.preds.2.sn,37293483,265420800,0.14050701000072338,238878720.0,33564134.7,37293483,3.35641347e-05,accumulate
sttmultires_unet.preds.3.sn,83669583,1061683200,0.07880842703360098,955514880.0,75302624.7,83669583,7.53026247e-05,accumulate
sttmultires_unet.resblocks.0.sn1,6263449,33177600,0.18878547574266974,22932357120.0,4329295948.799999,6263449,5.6371041e-06,accumulate
sttmultires_unet.resblocks.0.sn2,2267261,33177600,0.068337100935571,22932357120.0,1567130803.2,2267261,2.0405349e-06,accumulate
sttmultires_unet.resblocks.1.sn1,7589405,33177600,0.22875087408371914,22932357120.0,5245796736.0,7589405,6.8304645e-06,accumulate
sttmultires_unet.resblocks.1.sn2,2103229,33177600,0.06339304229359567,22932357120.0,1453751884.8,2103229,1.8929061e-06,accumulate
