axis,window,pressure,arm,stage,slots
ordinary,interior,ready,fixed_code8,U_actual_source_gather,9600
ordinary,interior,ready,fixed_code8,Uq_and_Ug_weight_supply,50719
ordinary,interior,ready,fixed_code8,original_U_RNE_sat,2880
ordinary,interior,ready,fixed_code8,retained_P1_H48_V,85312
ordinary,interior,ready,fixed_code8,continuous_PED_egress,18720
ordinary,interior,ready,fixed_code8,projection_gate_egress,6318
ordinary,interior,ready,affine_expanded,coefficient_cold_fill,23352
ordinary,interior,ready,affine_expanded,source_I24_input,98010
ordinary,interior,ready,affine_expanded,source_compiled_temporal_program,673728
ordinary,interior,ready,affine_expanded,preview_complete_K864_coalesced_directory,262570
ordinary,interior,ready,affine_expanded,preview_U32_full_K,383542
ordinary,interior,ready,affine_expanded,preview_V32_BN1,424560
ordinary,interior,ready,affine_expanded,noncausal_T10_sn2,260712
ordinary,interior,ready,affine_expanded,integer_coefficient_replace,7692
ordinary,interior,ready,affine_expanded,original_I24_input,65610
ordinary,interior,ready,affine_expanded,integer_projection_gate,130248
ordinary,interior,ready,affine_expanded,integer_NRVs_from_actual_sn2,49479
ordinary,interior,ready,affine_expanded,integer_Conv2_U16,21551
ordinary,interior,ready,affine_expanded,resident_F,60384
ordinary,interior,ready,affine_expanded,integer_BN2_residual_merge,57600
ordinary,interior,ready,affine_expanded,quantizer_constant_cold_fill,90
ordinary,interior,ready,affine_expanded,quantizer_predictor,3072
ordinary,interior,ready,affine_expanded,quantizer_actual_I24_read,17280
ordinary,interior,ready,affine_expanded,quantizer_RNE_clip8,17280
ordinary,interior,ready,affine_expanded,quantizer_reconstruct_I24,23040
ordinary,interior,ready,affine_expanded,retained_U_clear,480
ordinary,interior,ready,affine_expanded,U_actual_source_gather,17280
ordinary,interior,ready,affine_expanded,Uq_and_Ug_weight_supply,50720
ordinary,interior,ready,affine_expanded,original_U_RNE_sat,2880
ordinary,interior,ready,affine_expanded,retained_P1_H48_V,85312
ordinary,interior,ready,affine_expanded,continuous_PED_egress,18720
ordinary,interior,ready,affine_expanded,projection_gate_egress,6318
ordinary,interior,ready,affine_code8,coefficient_cold_fill,23352
ordinary,interior,ready,affine_code8,source_I24_input,98010
ordinary,interior,ready,affine_code8,source_compiled_temporal_program,673728
ordinary,interior,ready,affine_code8,preview_complete_K864_coalesced_directory,262570
ordinary,interior,ready,affine_code8,preview_U32_full_K,383542
ordinary,interior,ready,affine_code8,preview_V32_BN1,424560
ordinary,interior,ready,affine_code8,noncausal_T10_sn2,260712
ordinary,interior,ready,affine_code8,integer_coefficient_replace,7692
ordinary,interior,ready,affine_code8,original_I24_input,65610
ordinary,interior,ready,affine_code8,integer_projection_gate,130248
ordinary,interior,ready,affine_code8,integer_NRVs_from_actual_sn2,49479
ordinary,interior,ready,affine_code8,integer_Conv2_U16,21551
ordinary,interior,ready,affine_code8,resident_F,60384
ordinary,interior,ready,affine_code8,integer_BN2_residual_merge,57600
ordinary,interior,ready,affine_code8,quantizer_constant_cold_fill,360
ordinary,interior,ready,affine_code8,quantizer_predictor,3072
ordinary,interior,ready,affine_code8,quantizer_actual_I24_read,17280
ordinary,interior,ready,affine_code8,quantizer_RNE_clip8,17280
ordinary,interior,ready,affine_code8,quantizer_code8_materialize,1920
ordinary,interior,ready,affine_code8,retained_U_clear,480
ordinary,interior,ready,affine_code8,U_actual_source_gather,9600
ordinary,interior,ready,affine_code8,Uq_and_Ug_weight_supply,50720
ordinary,interior,ready,affine_code8,U_scale_and_Uc_before_original_RNE,5760
ordinary,interior,ready,affine_code8,original_U_RNE_sat,2880
ordinary,interior,ready,affine_code8,retained_P1_H48_V,85312
ordinary,interior,ready,affine_code8,continuous_PED_egress,18720
ordinary,interior,ready,affine_code8,projection_gate_egress,6318
ordinary,interior,ready,full_expanded,coefficient_cold_fill,23352
ordinary,interior,ready,full_expanded,source_I24_input,98010
ordinary,interior,ready,full_expanded,source_compiled_temporal_program,673728
ordinary,interior,ready,full_expanded,preview_complete_K864_coalesced_directory,262570
ordinary,interior,ready,full_expanded,preview_U32_full_K,383542
ordinary,interior,ready,full_expanded,preview_V32_BN1,424560
ordinary,interior,ready,full_expanded,noncausal_T10_sn2,260712
ordinary,interior,ready,full_expanded,integer_coefficient_replace,7692
ordinary,interior,ready,full_expanded,original_I24_input,65610
ordinary,interior,ready,full_expanded,integer_projection_gate,130248
ordinary,interior,ready,full_expanded,integer_NRVs_from_actual_sn2,49479
ordinary,interior,ready,full_expanded,integer_Conv2_U16,21551
ordinary,interior,ready,full_expanded,resident_F,60384
ordinary,interior,ready,full_expanded,integer_BN2_residual_merge,57600
ordinary,interior,ready,full_expanded,quantizer_constant_cold_fill,90
ordinary,interior,ready,full_expanded,quantizer_predictor,10214
ordinary,interior,ready,full_expanded,quantizer_actual_I24_read,17280
ordinary,interior,ready,full_expanded,quantizer_RNE_clip8,17280
ordinary,interior,ready,full_expanded,quantizer_reconstruct_I24,23040
ordinary,interior,ready,full_expanded,retained_U_clear,480
ordinary,interior,ready,full_expanded,U_actual_source_gather,17280
ordinary,interior,ready,full_expanded,Uq_and_Ug_weight_supply,50720
ordinary,interior,ready,full_expanded,original_U_RNE_sat,2880
ordinary,interior,ready,full_expanded,retained_P1_H48_V,85312
ordinary,interior,ready,full_expanded,continuous_PED_egress,18720
ordinary,interior,ready,full_expanded,projection_gate_egress,6318
ordinary,interior,ready,full_code8,coefficient_cold_fill,23352
ordinary,interior,ready,full_code8,source_I24_input,98010
ordinary,interior,ready,full_code8,source_compiled_temporal_program,673728
ordinary,interior,ready,full_code8,preview_complete_K864_coalesced_directory,262570
ordinary,interior,ready,full_code8,preview_U32_full_K,383542
ordinary,interior,ready,full_code8,preview_V32_BN1,424560
ordinary,interior,ready,full_code8,noncausal_T10_sn2,260712
ordinary,interior,ready,full_code8,integer_coefficient_replace,7692
ordinary,interior,ready,full_code8,original_I24_input,65610
ordinary,interior,ready,full_code8,integer_projection_gate,130248
ordinary,interior,ready,full_code8,integer_NRVs_from_actual_sn2,49479
