axis,mode,population,file,valid_pixels,AEE,NB0_AEE,delta_NB0
ordinary,R24_onepass,valid825,zurich_city_09_a_0561.npy,20563,2.425892536821669,2.1760728463,0.2498196905216692
ordinary,R24_onepass,valid825,zurich_city_09_a_0571.npy,23689,1.5055268200105643,1.8831582894,-0.3776314693894358
ordinary,R24_onepass,valid825,zurich_city_09_a_0581.npy,21936,2.61162195358484,2.6196506314,-0.008028677815159924
ordinary,R24_onepass,valid825,zurich_city_09_a_0591.npy,23696,1.5746203725922514,1.8550523427,-0.2804319701077487
ordinary,R24_onepass,valid825,zurich_city_09_a_0601.npy,26668,1.4204045943308885,1.7114897185,-0.2910851241691115
ordinary,R24_onepass,valid825,zurich_city_09_a_0611.npy,28273,0.8223580676949024,0.9799624559,-0.1576043882050976
ordinary,R24_onepass,valid825,zurich_city_09_a_0621.npy,29356,0.7833857729535452,1.0602847374,-0.2768989644464548
ordinary,R24_onepass,valid825,zurich_city_09_a_0631.npy,34941,0.6847616554335916,0.9707715998,-0.2860099443664085
ordinary,R24_onepass,valid825,zurich_city_07_a_0001.npy,60911,1.8244684000567977,2.7632396037,-0.9387712036432025
ordinary,R24_onepass,valid825,zurich_city_07_a_0011.npy,53178,1.3653967555692577,1.8373696007,-0.47197284513074234
ordinary,R24_onepass,valid825,zurich_city_07_a_0021.npy,66633,1.6873501876914518,2.1661010685,-0.47875088080854833
ordinary,R24_onepass,valid825,zurich_city_07_a_0031.npy,65460,1.4570004851082334,2.0455700523,-0.5885695671917666
ordinary,R24_onepass,valid825,zurich_city_07_a_0041.npy,75109,1.8259808498666414,2.1022443216,-0.27626347173335875
ordinary,R24_onepass,valid825,zurich_city_07_a_0051.npy,54813,1.4835859492921728,1.750203818,-0.2666178687078271
ordinary,R24_onepass,valid825,zurich_city_07_a_0061.npy,61197,1.5230189470629139,1.9896603132,-0.46664136613708607
ordinary,R24_onepass,valid825,zurich_city_07_a_0071.npy,66500,1.7527299839218315,2.3510902256,-0.5983602416781686
ordinary,R24_onepass,valid825,zurich_city_07_a_0081.npy,73429,1.6670926691465802,2.2933607635,-0.6262680943534198
ordinary,R24_onepass,valid825,zurich_city_07_a_0091.npy,72406,1.4244949840081673,1.9538807212,-0.5293857371918327
ordinary,R24_onepass,valid825,zurich_city_02_c_0001.npy,50313,1.02571767118735,1.2135586696,-0.18784099841265012
ordinary,R24_onepass,valid825,zurich_city_02_c_0011.npy,49226,1.0346390932135463,1.1510100576,-0.11637096438645367
ordinary,R24_onepass,valid825,zurich_city_02_c_0021.npy,47062,1.2326256151974169,1.4963359504,-0.26371033520258313
ordinary,R24_onepass,valid825,zurich_city_02_c_0031.npy,44095,1.0496413561523166,1.278830508,-0.2291891518476834
ordinary,R24_onepass,valid825,zurich_city_02_c_0041.npy,49744,0.8491057671512592,0.9478986316,-0.0987928644487408
ordinary,R24_onepass,valid825,zurich_city_02_c_0051.npy,47887,0.7786144220736656,0.9674578141,-0.18884339202633438
ordinary,R24_onepass,valid825,zurich_city_02_c_0061.npy,46792,0.827083054827429,1.1360742755,-0.3089912206725709
ordinary,R24_onepass,valid825,zurich_city_02_c_0071.npy,53216,0.8319696705517444,0.954347318,-0.12237764744825552
ordinary,R24_onepass,valid825,zurich_city_02_c_0081.npy,55981,0.9268320353557232,1.0058153799,-0.0789833445442768
ordinary,R24_onepass,valid825,zurich_city_02_c_0091.npy,56115,0.7925590146867766,1.0562706746,-0.2637116599132233
ordinary,R24_onepass,valid825,zurich_city_02_c_0101.npy,49910,1.0532428409933399,1.3264476057,-0.2732047647066602
ordinary,R24_onepass,valid825,zurich_city_02_c_0111.npy,46896,1.0603331029407932,1.3392317742,-0.27889867125920675
ordinary,R24_onepass,valid825,zurich_city_02_c_0121.npy,43265,1.0353734495855822,1.2502188547,-0.21484540511441774
ordinary,R24_onepass,valid825,zurich_city_02_c_0131.npy,42829,1.2954537199290046,1.4706666883,-0.17521296837099531
ordinary,R24_onepass,valid825,zurich_city_02_c_0141.npy,38157,2.2809016023731727,2.7410398977,-0.46013829532682715
