case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	1	0	7173	7166	288	8819	0	695	6666	5069	0	0	0	0	2	2496	1	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	1	1	22152	22145	288	8819	0	695	6666	5069	36	2986	0	26	16	2496	1	4	4	4	0	3	6048	2771	17034	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	0	0	2651	2644	288	2822	51	695	10211	7710	0	0	3	0	3	2304	2	4	4	4	1	1	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	0	1	7384	7377	288	2822	51	695	10211	7710	32	957	0	34	21	2304	2	4	4	4	0	3	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	1	0	2649	2642	288	2822	51	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	1	1	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	0	1	1	7343	7336	288	2822	51	695	10211	7710	33	909	0	32	21	2304	2	4	3	2	3	0	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	0	0	7150	7143	288	8819	0	695	10211	7710	0	0	0	0	5	2304	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	0	1	22112	22105	288	8819	0	695	10211	7710	39	2971	0	22	33	2304	2	4	4	4	3	0	6048	2771	17029	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	1	0	7150	7143	288	8819	0	695	10211	7710	0	0	0	0	4	2304	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_time	1	1	1	1	1	22055	22048	288	8819	0	695	10211	7710	59	2871	0	33	25	2304	1	4	4	4	0	3	6048	2771	16717	245	51	377	377	1133	1133
