case,real,order,mode,bp,packed32,prefetch,frontier,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p10,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p10,1,1,2,0,1,1,0,1046,49,49,490,4900,215,98,96,88,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p10,1,1,2,0,1,1,1,978,58,45,407,4070,228,116,91,77,326,0,0,1,21,21,6,109,0,139,45,450,135,45,0,6,1
train0_p10,1,1,2,1,1,1,0,1276,49,49,490,4900,215,98,96,88,341,62,3,1,30,57,6,126,0,312,49,490,147,49,0,9,1
train0_p10,1,1,2,1,1,1,1,1231,58,45,407,4070,228,116,91,77,326,75,2,1,30,57,6,145,0,309,45,450,135,45,0,8,1
train0_p10,1,1,3,0,1,1,0,1046,49,49,490,4900,215,98,96,88,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p10,1,1,3,0,1,1,1,979,58,45,406,4060,228,116,91,76,323,0,0,1,21,21,6,110,0,139,45,450,135,45,0,6,1
train0_p10,1,1,3,1,1,1,0,1269,49,49,490,4900,215,98,96,88,340,60,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p10,1,1,3,1,1,1,1,1214,58,45,406,4060,228,116,91,76,323,89,2,1,27,54,6,139,0,304,45,450,135,45,0,8,1
train0_p11,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p11,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p11,1,1,2,0,1,1,0,1146,54,54,540,5400,252,108,123,114,355,0,0,1,21,21,6,119,0,162,54,540,162,54,0,6,1
train0_p11,1,1,2,0,1,1,1,1022,65,47,418,4180,272,130,121,95,317,0,0,1,21,21,6,117,0,145,47,470,141,47,0,6,1
train0_p11,1,1,2,1,1,1,0,1382,54,54,540,5400,252,108,123,114,355,86,1,1,30,57,6,138,0,333,54,540,162,54,0,7,1
train0_p11,1,1,2,1,1,1,1,1302,65,47,418,4180,272,130,121,95,317,80,2,1,30,57,6,167,0,328,47,470,141,47,0,8,1
train0_p11,1,1,3,0,1,1,0,1146,54,54,540,5400,252,108,123,114,354,0,0,1,21,21,6,119,0,162,54,540,162,54,0,6,1
train0_p11,1,1,3,0,1,1,1,1024,66,47,417,4170,271,132,118,93,315,0,0,1,21,21,6,117,0,147,47,470,141,47,0,6,1
train0_p11,1,1,3,1,1,1,0,1374,54,54,540,5400,252,108,123,114,354,81,1,1,27,54,6,137,0,332,54,540,162,54,0,7,1
train0_p11,1,1,3,1,1,1,1,1280,66,47,417,4170,271,132,118,93,315,99,3,1,27,54,6,153,0,325,47,470,141,47,0,9,1
train0_p12,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p12,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p12,1,1,2,0,1,1,0,1046,49,49,490,4900,218,98,99,91,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p12,1,1,2,0,1,1,1,978,58,45,406,4060,231,116,94,78,322,0,0,1,21,21,6,109,0,139,45,450,135,45,0,6,1
train0_p12,1,1,2,1,1,1,0,1276,49,49,490,4900,218,98,99,91,340,63,3,1,30,57,6,126,0,312,49,490,147,49,0,9,1
train0_p12,1,1,2,1,1,1,1,1231,58,45,406,4060,231,116,94,78,322,76,2,1,30,57,6,145,0,309,45,450,135,45,0,8,1
train0_p12,1,1,3,0,1,1,0,1046,49,49,490,4900,219,98,100,92,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p12,1,1,3,0,1,1,1,979,58,45,406,4060,231,116,94,78,320,0,0,1,21,21,6,110,0,139,45,450,135,45,0,6,1
train0_p12,1,1,3,1,1,1,0,1269,49,49,490,4900,219,98,100,92,340,62,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p12,1,1,3,1,1,1,1,1214,58,45,406,4060,231,116,94,78,320,91,2,1,27,54,6,139,0,304,45,450,135,45,0,8,1
train0_p13,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p13,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p13,1,1,2,0,1,1,0,1313,62,62,620,6200,329,124,184,165,387,0,0,1,21,21,6,142,0,186,62,620,186,62,0,6,1
train0_p13,1,1,2,0,1,1,1,1229,85,56,467,4670,372,170,181,138,358,0,0,1,21,21,6,146,0,188,56,560,168,56,0,6,1
train0_p13,1,1,2,1,1,1,0,1610,62,62,620,6200,329,124,184,165,387,108,1,1,30,57,6,182,0,397,62,620,186,62,0,7,1
train0_p13,1,1,2,1,1,1,1,1566,85,56,467,4670,372,170,181,138,358,117,8,1,30,57,6,207,0,411,56,560,168,56,0,14,1
train0_p13,1,1,3,0,1,1,0,1314,62,62,620,6200,332,124,187,167,382,0,0,1,21,21,6,143,0,186,62,620,186,62,0,6,1
train0_p13,1,1,3,0,1,1,1,1203,83,55,462,4620,367,166,180,137,352,0,0,1,21,21,6,140,0,183,55,550,165,55,0,6,1
train0_p13,1,1,3,1,1,1,0,1621,62,62,620,6200,332,124,187,167,382,107,7,1,27,54,6,186,0,404,62,620,186,62,0,13,1
train0_p13,1,1,3,1,1,1,1,1522,83,55,462,4620,367,166,180,137,352,136,3,1,27,54,6,208,0,392,55,550,165,55,0,9,1
train0_p14,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p14,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p14,1,1,2,0,1,1,0,1148,54,54,540,5400,248,108,119,109,353,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train0_p14,1,1,2,0,1,1,1,1082,69,50,423,4230,275,138,116,89,323,0,0,1,21,21,6,121,0,156,50,500,150,50,0,6,1
train0_p14,1,1,2,1,1,1,0,1390,54,54,540,5400,248,108,119,109,353,103,2,1,30,57,6,137,0,341,54,540,162,54,0,8,1
