case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train2_p27,1,1,2,0,1,1,1270,60,6000,309,120,168,155,371,0,0,1,21,21,6,135,0,180,60,600,180,60,0,6,1
train2_p27,1,1,2,1,1,1,1558,60,6000,309,120,168,155,371,99,0,1,30,57,6,164,0,394,60,600,180,60,0,6,1
train2_p27,1,1,3,0,1,1,1271,60,6000,303,120,162,146,352,0,0,1,21,21,6,136,0,180,60,600,180,60,0,6,1
train2_p27,1,1,3,1,1,1,1558,60,6000,303,120,162,146,352,103,0,1,27,54,6,168,0,396,60,600,180,60,0,6,1
train2_p28,1,1,2,0,1,1,1148,54,5400,252,108,123,112,351,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train2_p28,1,1,2,1,1,1,1396,54,5400,252,108,123,112,351,79,3,1,30,57,6,146,0,337,54,540,162,54,0,9,1
train2_p28,1,1,3,0,1,1,1111,52,5200,245,104,120,107,326,0,0,1,21,21,6,120,0,156,52,520,156,52,0,6,1
train2_p28,1,1,3,1,1,1,1357,52,5200,245,104,120,107,326,83,2,1,27,54,6,142,0,339,52,520,156,52,0,8,1
train2_p29,1,1,2,0,1,1,1269,60,6000,308,120,167,152,372,0,0,1,21,21,6,134,0,180,60,600,180,60,0,6,1
train2_p29,1,1,2,1,1,1,1539,60,6000,308,120,167,152,372,121,2,1,30,57,6,163,0,374,60,600,180,60,0,8,1
train2_p29,1,1,3,0,1,1,1269,60,6000,303,120,162,146,346,0,0,1,21,21,6,134,0,180,60,600,180,60,0,6,1
train2_p29,1,1,3,1,1,1,1539,60,6000,303,120,162,146,346,93,0,1,27,54,6,162,0,383,60,600,180,60,0,6,1
train2_p30,1,1,2,0,1,1,1274,60,6000,310,120,169,151,367,0,0,1,21,21,6,139,0,180,60,600,180,60,0,6,1
train2_p30,1,1,2,1,1,1,1555,60,6000,310,120,169,151,367,116,6,1,30,57,6,171,0,377,60,600,181,60,0,12,1
train2_p30,1,1,3,0,1,1,1273,60,6000,306,120,165,148,350,0,0,1,21,21,6,138,0,180,60,600,180,60,0,6,1
train2_p30,1,1,3,1,1,1,1549,60,6000,306,120,165,148,350,89,0,1,27,54,6,162,0,393,60,600,180,60,0,6,1
train2_p31,1,1,2,0,1,1,1154,54,5400,287,108,158,140,348,0,0,1,21,21,6,127,0,162,54,540,162,54,0,6,1
train2_p31,1,1,2,1,1,1,1406,54,5400,287,108,158,140,348,99,2,1,30,57,6,163,0,331,54,540,162,54,0,8,1
train2_p31,1,1,3,0,1,1,1096,51,5100,278,102,155,135,323,0,0,1,21,21,6,123,0,153,51,510,153,51,0,6,1
train2_p31,1,1,3,1,1,1,1349,51,5100,276,102,153,134,327,74,6,1,27,54,6,161,0,323,51,510,153,51,0,12,1
train3_p0,1,1,2,0,1,1,1067,50,5000,222,100,101,92,330,0,0,1,21,21,6,112,0,150,50,500,150,50,0,6,1
train3_p0,1,1,2,1,1,1,1302,50,5000,222,100,101,92,330,66,6,1,30,57,6,134,0,312,50,500,150,50,0,12,1
train3_p0,1,1,3,0,1,1,990,46,4600,209,92,96,87,306,0,0,1,21,21,6,107,0,138,46,460,138,46,0,6,1
train3_p0,1,1,3,1,1,1,1199,46,4600,209,92,96,87,306,69,1,1,27,54,6,123,0,291,46,460,138,46,0,7,1
train3_p1,1,1,2,0,1,1,1088,51,5100,229,102,106,96,343,0,0,1,21,21,6,115,0,153,51,510,153,51,0,6,1
train3_p1,1,1,2,1,1,1,1337,51,5100,229,102,106,96,343,62,4,1,30,57,6,144,0,324,51,510,153,51,0,10,1
train3_p1,1,1,3,0,1,1,1030,48,4800,218,96,101,91,318,0,0,1,21,21,6,111,0,144,48,480,144,48,0,6,1
train3_p1,1,1,3,1,1,1,1258,48,4800,218,96,101,91,318,69,4,1,27,54,6,126,0,314,48,480,144,48,0,10,1
train3_p2,1,1,2,0,1,1,1165,55,5500,252,110,121,111,344,0,0,1,21,21,6,120,0,165,55,550,165,55,0,6,1
train3_p2,1,1,2,1,1,1,1412,55,5500,252,110,121,111,344,89,2,1,30,57,6,141,0,344,55,550,165,55,0,8,1
train3_p2,1,1,3,0,1,1,1110,52,5200,242,104,117,105,312,0,0,1,21,21,6,119,0,156,52,520,156,52,0,6,1
train3_p2,1,1,3,1,1,1,1357,52,5200,242,104,117,105,312,78,5,1,27,54,6,142,0,336,52,520,156,52,0,11,1
train3_p3,1,1,2,0,1,1,1247,59,5900,293,118,154,141,350,0,0,1,21,21,6,130,0,177,59,590,177,59,0,6,1
train3_p3,1,1,2,1,1,1,1507,59,5900,293,118,154,141,350,95,3,1,30,57,6,153,0,366,59,590,177,59,0,9,1
train3_p3,1,1,3,0,1,1,1248,59,5900,292,118,153,138,327,0,0,1,21,21,6,131,0,177,59,590,177,59,0,6,1
train3_p3,1,1,3,1,1,1,1512,59,5900,292,118,153,138,327,91,1,1,27,54,6,153,0,379,59,590,177,59,0,7,1
train3_p4,1,1,2,0,1,1,1211,57,5700,294,114,159,143,351,0,0,1,21,21,6,130,0,171,57,570,171,57,0,6,1
train3_p4,1,1,2,1,1,1,1474,57,5700,294,114,159,143,351,106,0,1,30,57,6,162,0,357,57,570,171,57,0,6,1
train3_p4,1,1,3,0,1,1,1211,57,5700,288,114,153,136,324,0,0,1,21,21,6,130,0,171,57,570,171,57,0,6,1
train3_p4,1,1,3,1,1,1,1459,57,5700,288,114,153,136,324,83,0,1,27,54,6,162,0,348,57,570,171,57,0,6,1
train3_p5,1,1,2,0,1,1,1107,52,5200,242,104,117,107,341,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train3_p5,1,1,2,1,1,1,1358,52,5200,242,104,117,107,341,80,3,1,30,57,6,136,0,339,52,520,156,52,0,9,1
train3_p5,1,1,3,0,1,1,1049,49,4900,234,98,115,104,315,0,0,1,21,21,6,112,0,147,49,490,147,49,0,6,1
train3_p5,1,1,3,1,1,1,1302,49,4900,234,98,115,104,315,87,7,1,27,54,6,140,0,326,49,490,147,49,0,13,1
train3_p6,1,1,2,0,1,1,1149,54,5400,250,108,121,111,343,0,0,1,21,21,6,122,0,162,54,540,162,54,0,6,1
train3_p6,1,1,2,1,1,1,1403,54,5400,249,108,120,111,345,84,0,1,30,57,6,142,0,351,54,540,162,54,0,6,1
train3_p6,1,1,3,0,1,1,1130,53,5300,250,106,123,112,314,0,0,1,21,21,6,121,0,159,53,530,159,53,0,6,1
train3_p6,1,1,3,1,1,1,1358,53,5300,250,106,123,112,314,80,0,1,27,54,6,138,0,331,53,530,159,53,0,6,1
train3_p7,1,1,2,0,1,1,1127,53,5300,243,106,116,106,340,0,0,1,21,21,6,118,0,159,53,530,159,53,0,6,1
train3_p7,1,1,2,1,1,1,1390,53,5300,243,106,116,106,340,82,0,1,30,57,6,142,0,353,53,530,159,53,0,6,1
train3_p7,1,1,3,0,1,1,1050,49,4900,233,98,114,103,314,0,0,1,21,21,6,113,0,147,49,490,147,49,0,6,1
train3_p7,1,1,3,1,1,1,1302,49,4900,233,98,114,103,314,89,7,1,27,54,6,141,0,325,49,490,147,49,0,13,1
train3_p8,1,1,2,0,1,1,1313,62,6200,317,124,172,155,389,0,0,1,21,21,6,142,0,186,62,620,186,62,0,6,1
train3_p8,1,1,2,1,1,1,1588,62,6200,317,124,172,155,389,123,0,1,30,57,6,179,0,379,62,620,186,62,0,6,1
train3_p8,1,1,3,0,1,1,1314,62,6200,319,124,174,155,358,0,0,1,21,21,6,143,0,186,62,620,186,62,0,6,1
train3_p8,1,1,3,1,1,1,1602,62,6200,319,124,174,155,358,112,3,1,27,54,6,178,0,397,62,620,186,62,0,9,1
train3_p9,1,1,2,0,1,1,1185,56,5600,251,112,118,110,348,0,0,1,21,21,6,122,0,168,56,560,168,56,0,6,1
train3_p9,1,1,2,1,1,1,1441,56,5600,251,112,118,110,348,91,3,1,30,57,6,132,0,366,56,560,168,56,0,9,1
train3_p9,1,1,3,0,1,1,1128,53,5300,242,106,115,106,321,0,0,1,21,21,6,119,0,159,53,530,159,53,0,6,1
train3_p9,1,1,3,1,1,1,1369,53,5300,242,106,115,106,321,86,0,1,27,54,6,143,0,337,53,530,159,53,0,6,1
train3_p10,1,1,2,0,1,1,1144,54,5400,246,108,117,110,352,0,0,1,21,21,6,117,0,162,54,540,162,54,0,6,1
train3_p10,1,1,2,1,1,1,1380,54,5400,246,108,117,110,352,85,0,1,30,57,6,132,0,338,54,540,162,54,0,6,1
train3_p10,1,1,3,0,1,1,1087,51,5100,234,102,111,103,324,0,0,1,21,21,6,114,0,153,51,510,153,51,0,6,1
train3_p10,1,1,3,1,1,1,1316,51,5100,234,102,111,103,324,65,3,1,27,54,6,131,0,323,51,510,153,51,0,9,1
train3_p11,1,1,2,0,1,1,1128,53,5300,241,106,114,105,344,0,0,1,21,21,6,119,0,159,53,530,159,53,0,6,1
train3_p11,1,1,2,1,1,1,1380,53,5300,241,106,114,105,344,85,0,1,30,57,6,139,0,346,53,530,159,53,0,6,1
train3_p11,1,1,3,0,1,1,1070,50,5000,231,100,110,100,315,0,0,1,21,21,6,115,0,150,50,500,150,50,0,6,1
