case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p19,1,1,2,0,1,1,1228,58,5800,272,116,135,125,354,0,0,1,21,21,6,129,0,174,58,580,174,58,0,6,1
train0_p19,1,1,2,1,1,1,1485,58,5800,272,116,135,125,354,95,3,1,30,57,6,146,0,366,58,580,174,58,0,9,1
train0_p19,1,1,3,0,1,1,1230,58,5800,268,116,131,119,352,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train0_p19,1,1,3,1,1,1,1479,58,5800,268,116,131,119,352,94,2,1,27,54,6,152,0,361,58,580,174,58,0,8,1
train0_p20,1,1,2,0,1,1,1165,55,5500,254,110,123,113,342,0,0,1,21,21,6,120,0,165,55,550,165,55,0,6,1
train0_p20,1,1,2,1,1,1,1414,55,5500,254,110,123,113,342,94,1,1,30,57,6,140,0,348,55,550,165,55,0,7,1
train0_p20,1,1,3,0,1,1,1165,55,5500,252,110,121,111,340,0,0,1,21,21,6,120,0,165,55,550,165,55,0,6,1
train0_p20,1,1,3,1,1,1,1406,55,5500,252,110,121,111,340,100,2,1,27,54,6,141,0,344,55,550,165,55,0,8,1
train0_p21,1,1,2,0,1,1,1065,50,5000,220,100,99,91,342,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p21,1,1,2,1,1,1,1302,50,5000,220,100,99,91,342,60,4,1,30,57,6,127,0,321,50,500,150,50,0,10,1
train0_p21,1,1,3,0,1,1,1065,50,5000,220,100,99,91,340,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p21,1,1,3,1,1,1,1284,50,5000,220,100,99,91,340,51,4,1,27,54,6,120,0,316,50,500,150,50,0,10,1
train0_p22,1,1,2,0,1,1,1251,59,5900,285,118,146,132,346,0,0,1,21,21,6,134,0,177,59,590,177,59,0,6,1
train0_p22,1,1,2,1,1,1,1524,59,5900,284,118,145,132,348,85,4,1,30,57,6,162,0,373,59,590,177,59,0,10,1
train0_p22,1,1,3,0,1,1,1251,59,5900,284,118,145,131,346,0,0,1,21,21,6,134,0,177,59,590,177,59,0,6,1
train0_p22,1,1,3,1,1,1,1524,59,5900,284,118,145,131,346,89,4,1,27,54,6,163,0,378,59,590,177,59,0,10,1
train0_p23,1,1,2,0,1,1,1326,63,6300,311,126,164,154,399,0,0,1,21,21,6,137,0,189,63,630,189,63,0,6,1
train0_p23,1,1,2,1,1,1,1614,63,6300,311,126,164,154,399,106,5,1,30,57,6,161,0,403,63,630,189,63,0,11,1
train0_p23,1,1,3,0,1,1,1329,63,6300,311,126,164,151,392,0,0,1,21,21,6,140,0,189,63,630,189,63,0,6,1
train0_p23,1,1,3,1,1,1,1614,63,6300,311,126,164,151,392,103,0,1,27,54,6,174,0,401,63,630,189,63,0,6,1
train0_p24,1,1,2,0,1,1,1127,53,5300,250,106,123,113,343,0,0,1,21,21,6,118,0,159,53,530,159,53,0,6,1
train0_p24,1,1,2,1,1,1,1381,53,5300,250,106,123,113,343,84,6,1,30,57,6,143,0,337,53,530,159,53,0,12,1
train0_p24,1,1,3,0,1,1,1127,53,5300,248,106,121,111,342,0,0,1,21,21,6,118,0,159,53,530,159,53,0,6,1
train0_p24,1,1,3,1,1,1,1361,53,5300,248,106,121,111,342,75,4,1,27,54,6,137,0,331,53,530,159,53,0,10,1
