case,real,mode,bp,cycles,source_to_gate,boot_cycles,fc_cycles,psn_cycles,words,coeff_words,updates,mac,jobs,zero_jobs,bank_skips,psn_wait,peak_words,peak_desc,out_stall,bank_req_stall
real_v0_tile399_h0,1,3,1,6562,5047,1513,946,3728,1112,712,929,2490,89,0,0,0,24,3,142,375
real_v0_tile399_h0,1,4,0,5637,4842,794,936,3586,1109,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h0,1,4,1,6540,5048,1491,947,3727,1109,712,929,2490,89,0,0,0,24,3,141,350
real_v0_tile399_h1,1,0,0,7965,7200,764,3294,3586,766,384,3287,2490,64,0,0,0,24,4,0,0
real_v0_tile399_h1,1,0,1,8850,7405,1443,3297,3735,766,384,3287,2490,64,0,0,0,24,4,149,192
real_v0_tile399_h1,1,1,0,5634,4845,788,939,3586,1462,1068,929,2490,89,0,0,0,24,2,0,0
real_v0_tile399_h1,1,1,1,6606,5117,1488,1019,3725,1462,1068,929,2490,89,0,0,0,24,2,139,448
real_v0_tile399_h1,1,2,0,5631,4842,788,936,3586,1106,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h1,1,2,1,6540,5051,1488,947,3731,1106,712,929,2490,89,0,0,0,24,3,145,334
real_v0_tile399_h1,1,3,0,5643,4842,800,936,3586,1112,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h1,1,3,1,6562,5054,1506,949,3732,1112,712,929,2490,89,0,0,0,24,3,146,351
real_v0_tile399_h1,1,4,0,5637,4842,794,936,3586,1109,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h1,1,4,1,6551,5050,1499,947,3730,1109,712,929,2490,89,0,0,0,24,3,144,332
real_v0_tile399_h2,1,0,0,7965,7200,764,3294,3586,766,384,3287,2490,64,0,0,0,24,4,0,0
real_v0_tile399_h2,1,0,1,8828,7396,1431,3298,3725,766,384,3287,2490,64,0,0,0,24,4,139,201
real_v0_tile399_h2,1,1,0,5634,4845,788,939,3586,1462,1068,929,2490,89,0,0,0,24,2,0,0
real_v0_tile399_h2,1,1,1,6606,5129,1476,1023,3733,1462,1068,929,2490,89,0,0,0,24,2,147,435
real_v0_tile399_h2,1,2,0,5631,4842,788,936,3586,1106,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h2,1,2,1,6529,5052,1476,947,3732,1106,712,929,2490,89,0,0,0,24,3,146,345
real_v0_tile399_h2,1,3,0,5643,4842,800,936,3586,1112,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h2,1,3,1,6551,5049,1501,946,3730,1112,712,929,2490,89,0,0,0,24,3,144,307
real_v0_tile399_h2,1,4,0,5637,4842,794,936,3586,1109,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h2,1,4,1,6540,5053,1486,949,3731,1109,712,929,2490,89,0,0,0,24,3,145,336
real_v0_tile399_h3,1,0,0,7965,7200,764,3294,3586,766,384,3287,2490,64,0,0,0,24,4,0,0
real_v0_tile399_h3,1,0,1,8839,7403,1435,3297,3732,766,384,3287,2490,64,0,0,0,24,4,146,230
real_v0_tile399_h3,1,1,0,5634,4845,788,939,3586,1462,1068,929,2490,89,0,0,0,24,2,0,0
real_v0_tile399_h3,1,1,1,6617,5136,1480,1031,3732,1462,1068,929,2490,89,0,0,0,24,2,146,473
real_v0_tile399_h3,1,2,0,5631,4842,788,936,3586,1106,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h3,1,2,1,6529,5048,1480,947,3728,1106,712,929,2490,89,0,0,0,24,3,142,356
real_v0_tile399_h3,1,3,0,5643,4842,800,936,3586,1112,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h3,1,3,1,6551,5047,1503,948,3726,1112,712,929,2490,89,0,0,0,24,3,140,374
real_v0_tile399_h3,1,4,0,5637,4842,794,936,3586,1109,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h3,1,4,1,6540,5050,1489,946,3731,1109,712,929,2490,89,0,0,0,24,3,145,324
real_v0_tile599_h0,1,0,0,8688,7923,764,3765,3838,754,372,3758,2750,62,0,0,0,24,4,0,0
real_v0_tile599_h0,1,0,1,9543,8104,1438,3769,3962,754,372,3758,2750,62,0,0,0,24,4,124,216
real_v0_tile599_h0,1,1,0,5990,5201,788,1043,3838,1414,1020,1033,2750,85,0,0,0,24,2,0,0
real_v0_tile599_h0,1,1,1,6936,5452,1483,1118,3961,1414,1020,1033,2750,85,0,0,0,24,2,123,435
real_v0_tile599_h0,1,2,0,5987,5198,788,1040,3838,1074,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h0,1,2,1,6859,5375,1483,1045,3957,1074,680,1033,2750,85,0,0,0,24,3,119,326
real_v0_tile599_h0,1,3,0,5999,5198,800,1040,3838,1080,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h0,1,3,1,6892,5377,1513,1046,3958,1080,680,1033,2750,85,0,0,0,24,3,120,336
real_v0_tile599_h0,1,4,0,5993,5198,794,1040,3838,1077,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h0,1,4,1,6870,5378,1491,1044,3960,1077,680,1033,2750,85,0,0,0,24,3,122,337
real_v0_tile599_h1,1,0,0,8688,7923,764,3765,3838,754,372,3758,2750,62,0,0,0,24,4,0,0
real_v0_tile599_h1,1,0,1,9543,8098,1443,3768,3957,754,372,3758,2750,62,0,0,0,24,4,119,229
real_v0_tile599_h1,1,1,0,5990,5201,788,1043,3838,1414,1020,1033,2750,85,0,0,0,24,2,0,0
real_v0_tile599_h1,1,1,1,6925,5436,1488,1101,3962,1414,1020,1033,2750,85,0,0,0,24,2,124,413
real_v0_tile599_h1,1,2,0,5987,5198,788,1040,3838,1074,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h1,1,2,1,6870,5381,1488,1044,3964,1074,680,1033,2750,85,0,0,0,24,3,126,322
real_v0_tile599_h1,1,3,0,5999,5198,800,1040,3838,1080,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h1,1,3,1,6892,5384,1506,1045,3966,1080,680,1033,2750,85,0,0,0,24,3,128,329
real_v0_tile599_h1,1,4,0,5993,5198,794,1040,3838,1077,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h1,1,4,1,6881,5380,1499,1044,3963,1077,680,1033,2750,85,0,0,0,24,3,125,312
real_v0_tile599_h2,1,0,0,8688,7923,764,3765,3838,754,372,3758,2750,62,0,0,0,24,4,0,0
real_v0_tile599_h2,1,0,1,9532,8100,1431,3769,3958,754,372,3758,2750,62,0,0,0,24,4,120,215
real_v0_tile599_h2,1,1,0,5990,5201,788,1043,3838,1414,1020,1033,2750,85,0,0,0,24,2,0,0
real_v0_tile599_h2,1,1,1,6925,5448,1476,1109,3966,1414,1020,1033,2750,85,0,0,0,24,2,128,449
real_v0_tile599_h2,1,2,0,5987,5198,788,1040,3838,1074,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h2,1,2,1,6859,5382,1476,1044,3965,1074,680,1033,2750,85,0,0,0,24,3,127,324
real_v0_tile599_h2,1,3,0,5999,5198,800,1040,3838,1080,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h2,1,3,1,6881,5379,1501,1044,3962,1080,680,1033,2750,85,0,0,0,24,3,124,340
real_v0_tile599_h2,1,4,0,5993,5198,794,1040,3838,1077,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h2,1,4,1,6870,5383,1486,1046,3964,1077,680,1033,2750,85,0,0,0,24,3,126,339
real_v0_tile599_h3,1,0,0,8688,7923,764,3765,3838,754,372,3758,2750,62,0,0,0,24,4,0,0
real_v0_tile599_h3,1,0,1,9543,8107,1435,3768,3965,754,372,3758,2750,62,0,0,0,24,4,127,232
real_v0_tile599_h3,1,1,0,5990,5201,788,1043,3838,1414,1020,1033,2750,85,0,0,0,24,2,0,0
real_v0_tile599_h3,1,1,1,6936,5455,1480,1117,3965,1414,1020,1033,2750,85,0,0,0,24,2,127,452
real_v0_tile599_h3,1,2,0,5987,5198,788,1040,3838,1074,680,1033,2750,85,0,0,0,24,3,0,0
real_v0_tile599_h3,1,2,1,6859,5378,1480,1044,3961,1074,680,1033,2750,85,0,0,0,24,3,123,327
real_v0_tile599_h3,1,3,0,5999,5198,800,1040,3838,1080,680,1033,2750,85,0,0,0,24,3,0,0
