case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats	producer_calendar	source_writes	first_write	last_write	producer_write_wait	service_from_first_write
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	6	1	1	6969	6962	288	2626	38	648	13442	9145	9	868	0	38	3	2080	2	4	4	2	1	0	4	2622	0	0	0	378	379	386	386	9	85	0	1	288	1	572	0	6962
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	0	2263	2256	288	1958	30	484	3719	3031	284	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2256
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	1	5393	5386	288	1958	30	484	3719	3031	284	622	0	44	12	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	0	288	1	72	0	5386
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	0	2261	2254	288	1958	30	484	3719	3031	284	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2254
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	1	5393	5386	288	1958	30	484	3719	3031	284	622	0	47	10	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	0	288	1	72	0	5386
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	0	2247	2240	288	1958	30	484	3719	3031	284	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2240
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	1	5411	5404	288	1958	30	484	3719	3031	284	612	0	32	12	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	0	288	1	72	0	5404
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	0	2245	2238	288	1958	30	484	3719	3031	284	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2238
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	1	5393	5386	288	1958	30	484	3719	3031	284	612	0	21	10	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	0	288	1	72	0	5386
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	0	0	2263	2256	288	1958	30	484	3719	3031	284	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2256
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	0	1	5411	5404	288	1958	30	484	3719	3031	284	611	0	32	12	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	102	0	0	288	1	72	0	5404
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	1	0	2261	2254	288	1958	30	484	3719	3031	284	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2254
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	1	1	5393	5386	288	1958	30	484	3719	3031	284	611	0	21	10	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	102	0	0	288	1	72	0	5386
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	0	0	2263	2256	288	1958	30	484	3719	3031	284	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2256
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	0	1	5411	5404	288	1958	30	484	3719	3031	284	611	0	32	12	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	102	0	0	288	1	72	0	5404
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	1	0	2261	2254	288	1958	30	484	3719	3031	284	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	0	288	1	72	0	2254
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	1	1	5393	5386	288	1958	30	484	3719	3031	284	611	0	21	10	2624	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	102	0	0	288	1	72	0	5386
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	0	2174	2167	288	1958	30	484	3719	3031	14	0	0	0	10	2624	2	4	4	3	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2167
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	1	5335	5328	288	1958	30	484	3719	3031	9	638	0	29	12	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	0	2172	2165	288	1958	30	484	3719	3031	14	0	0	0	9	2624	2	4	4	3	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2165
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	1	5335	5328	288	1958	30	484	3719	3031	9	638	0	32	10	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	11	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	0	2176	2169	288	1958	30	484	3719	3031	15	0	0	0	10	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2169
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	0	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	41	12	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	0	2174	2167	288	1958	30	484	3719	3031	15	0	0	0	9	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2167
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	4	1	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	42	10	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	0	0	2176	2169	288	1958	30	484	3719	3031	15	0	0	0	10	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2169
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	0	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	41	12	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	1	0	2174	2167	288	1958	30	484	3719	3031	15	0	0	0	9	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2167
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	5	1	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	42	10	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	0	0	2176	2169	288	1958	30	484	3719	3031	15	0	0	0	10	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2169
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	0	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	41	12	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	1	0	2174	2167	288	1958	30	484	3719	3031	15	0	0	0	9	2624	2	4	4	2	2	1	4	1954	0	0	0	375	380	386	386	3	102	0	1	288	1	572	0	2167
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	6	1	1	5335	5328	288	1958	30	484	3719	3031	10	595	0	42	10	2624	2	4	3	2	2	1	4	1954	0	0	0	375	380	386	386	10	102	0	1	288	1	572	0	5328
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	0	2243	2236	288	1958	30	484	4305	3185	284	0	0	0	9	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97	0	0	288	1	72	0	2236
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	1	5355	5348	288	1958	30	484	4305	3185	284	617	0	26	22	2464	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	97	0	0	288	1	72	0	5348
