case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train6_p25,1,1,3,0,1,1,1230,58,5800,282,116,145,132,335,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train6_p25,1,1,3,1,1,1,1501,58,5800,282,116,145,132,335,109,2,1,27,54,6,166,0,369,58,580,174,58,0,8,1
train6_p26,1,1,3,0,1,1,1188,56,5600,262,112,129,120,345,0,0,1,21,21,6,125,0,168,56,560,168,56,0,6,1
train6_p26,1,1,3,1,1,1,1426,56,5600,262,112,129,120,345,94,3,1,27,54,6,140,0,349,56,560,168,56,0,9,1
train6_p27,1,1,3,0,1,1,1290,61,6100,302,122,159,145,368,0,0,1,21,21,6,137,0,183,61,610,183,61,0,6,1
train6_p27,1,1,3,1,1,1,1577,61,6100,302,122,159,145,368,103,4,1,27,54,6,166,0,398,61,610,183,61,0,10,1
train6_p28,1,1,3,0,1,1,1149,54,5400,256,108,127,116,337,0,0,1,21,21,6,122,0,162,54,540,162,54,0,6,1
train6_p28,1,1,3,1,1,1,1390,54,5400,256,108,127,116,337,96,5,1,27,54,6,143,0,338,54,540,162,54,0,11,1
train6_p29,1,1,3,0,1,1,1233,58,5800,291,116,154,139,355,0,0,1,21,21,6,134,0,174,58,580,174,58,0,6,1
train6_p29,1,1,3,1,1,1,1512,58,5800,291,116,154,139,355,120,3,1,27,54,6,173,0,372,58,580,174,58,0,9,1
train6_p30,1,1,3,0,1,1,1212,57,5700,297,114,162,146,369,0,0,1,21,21,6,131,0,171,57,570,171,57,0,6,1
train6_p30,1,1,3,1,1,1,1468,57,5700,297,114,162,146,369,113,0,1,27,54,6,158,0,361,57,570,171,57,0,6,1
train6_p31,1,1,3,0,1,1,1288,61,6100,300,122,157,146,373,0,0,1,21,21,6,135,0,183,61,610,183,61,0,6,1
train6_p31,1,1,3,1,1,1,1557,61,6100,300,122,157,146,373,103,4,1,27,54,6,154,0,390,61,610,183,61,0,10,1
