function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
zero_class,train1,1,3,0,1,23,8907,8908,8723,88,1408,0,88,0,387,51,42,3870,8094,121584,114432,447,7,0,4,0,0,1,0,0,6,48,0,122,42,420,126,42,0,6,1,495,7152,447
zero_class,train1,1,3,0,1,24,9017,9018,8833,94,1504,0,94,0,393,56,42,3930,8202,123216,115968,453,9,0,4,0,0,1,0,0,6,48,0,124,42,420,126,42,0,6,1,501,7248,453
zero_class,train1,1,3,0,1,25,10007,10008,9823,120,1920,0,120,0,436,79,53,4360,8987,134912,126976,496,19,0,4,0,0,1,0,0,6,59,0,153,53,530,159,53,0,6,1,555,7936,496
zero_class,train1,1,3,0,1,26,10261,10262,10077,122,1952,0,122,0,450,86,53,4500,9239,138720,130560,510,25,2,4,0,0,1,0,0,6,59,0,155,53,530,159,53,0,6,1,569,8160,510
zero_class,train1,1,3,0,1,27,9017,9018,8833,90,1440,0,90,0,392,53,43,3920,8185,122944,115712,452,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,501,7232,452
zero_class,train1,1,3,0,1,28,9109,9110,8925,98,1568,0,98,0,395,60,45,3950,8241,123760,116480,455,11,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,506,7280,455
zero_class,train1,1,3,0,1,29,8889,8890,8705,90,1440,0,90,0,386,52,42,3860,8076,121312,114176,446,7,0,4,0,0,1,0,0,6,48,0,122,42,420,126,42,0,6,1,494,7136,446
zero_class,train1,1,3,0,1,30,10367,10368,10183,124,1984,0,124,0,456,80,53,4560,9347,140352,132096,516,18,1,4,0,0,1,0,0,6,59,0,153,53,530,159,53,0,6,1,575,8256,516
zero_class,train1,1,3,0,1,31,8981,8982,8797,90,1440,0,90,0,390,53,43,3900,8149,122400,115200,450,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,499,7200,450
zero_class,train1,1,3,1,1,0,9477,9480,9152,141,2256,35,106,0,398,63,46,3980,8296,124576,117248,458,10,1,4,34,5,1,47,94,6,52,0,280,46,460,138,46,0,11,3,510,7328,458
zero_class,train1,1,3,1,1,1,9059,9060,8875,88,1408,0,88,0,388,50,42,3880,8112,121856,114688,448,6,0,4,22,0,1,0,0,6,48,0,256,42,420,126,42,0,6,1,496,7168,448
zero_class,train1,1,3,1,1,2,9240,9241,9056,108,1728,0,108,0,395,64,44,3950,8240,123760,116480,455,10,1,4,22,6,1,0,0,6,50,0,271,44,440,132,44,0,12,1,505,7280,455
zero_class,train1,1,3,1,1,3,9218,9220,9034,92,1472,0,92,0,394,54,44,3940,8222,123488,116224,454,8,0,4,32,6,1,0,0,6,50,0,267,44,440,132,44,0,12,2,504,7264,454
