function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
adapt_class,train0,1,2,1,0,6,9559,9560,9375,96,1536,0,96,0,411,53,45,4110,8529,128112,120576,471,5,0,4,22,3,1,0,0,6,51,0,288,45,450,135,45,0,9,1,522,7536,471
adapt_class,train0,1,2,1,0,7,9554,9555,9370,104,1664,0,104,0,410,65,46,4100,8512,127840,120320,470,13,0,4,35,3,1,0,0,6,52,0,284,46,460,138,46,0,9,1,522,7520,470
adapt_class,train0,1,2,1,0,8,9541,9542,9357,98,1568,0,98,0,408,55,47,4080,8477,127296,119808,468,6,0,4,21,1,1,0,0,6,53,0,292,47,470,141,47,0,7,1,521,7488,468
adapt_class,train0,1,2,1,0,9,10758,10759,10574,128,2048,0,128,0,466,84,55,4660,9529,143072,134656,526,20,1,4,29,1,1,0,0,6,61,0,329,55,550,165,55,0,7,1,587,8416,526
adapt_class,train0,1,2,1,0,10,9486,9487,9302,98,1568,0,98,0,407,58,45,4070,8457,127024,119552,467,9,0,4,30,6,1,0,0,6,51,0,284,45,450,135,45,0,12,1,518,7472,467
adapt_class,train0,1,2,1,0,11,9717,9718,9533,108,1728,0,108,0,418,65,47,4180,8657,130016,122368,478,11,0,4,27,3,1,0,0,6,53,0,286,47,470,141,47,0,9,1,531,7648,478
adapt_class,train0,1,2,1,0,12,9453,9454,9269,98,1568,0,98,0,406,58,45,4060,8439,126752,119296,466,9,0,4,24,2,1,0,0,6,51,0,273,45,450,135,45,0,8,1,517,7456,466
adapt_class,train0,1,2,1,0,13,10802,10803,10618,126,2016,0,126,0,467,85,56,4670,9548,143344,134912,527,22,1,4,25,6,1,0,0,6,62,0,333,56,560,168,56,0,12,1,589,8432,527
adapt_class,train0,1,2,1,0,14,9877,9878,9693,112,1792,0,112,0,423,69,50,4230,8750,131376,123648,483,13,2,4,26,3,1,0,0,6,56,0,305,50,500,150,50,0,9,1,539,7728,483
adapt_class,train0,1,2,1,0,15,9530,9532,9346,98,1568,0,98,0,409,54,45,4090,8493,127568,120064,469,5,0,4,29,8,1,0,0,6,51,0,290,45,450,135,45,0,14,2,520,7504,469
adapt_class,train0,1,2,1,0,16,9497,9498,9313,96,1536,0,96,0,407,58,46,4070,8458,127024,119552,467,10,0,4,21,4,1,0,0,6,52,0,280,46,460,138,46,0,10,1,519,7472,467
adapt_class,train0,1,2,1,0,17,9596,9597,9412,104,1664,0,104,0,412,61,46,4120,8548,128384,120832,472,9,0,4,22,1,1,0,0,6,52,0,292,46,460,138,46,0,7,1,524,7552,472
adapt_class,train0,1,2,1,0,18,9559,9560,9375,106,1696,0,106,0,409,63,47,4090,8495,127568,120064,469,10,1,4,28,3,1,0,0,6,53,0,290,47,470,141,47,0,9,1,522,7504,469
adapt_class,train0,1,2,1,0,19,9774,9775,9590,118,1888,0,118,0,418,71,49,4180,8659,130016,122368,478,12,1,4,28,3,1,0,0,6,55,0,309,49,490,147,49,0,9,1,533,7648,478
adapt_class,train0,1,2,1,0,20,9564,9565,9380,110,1760,0,110,0,410,64,46,4100,8512,127840,120320,470,9,0,4,32,0,1,0,0,6,52,0,297,46,460,138,46,0,6,1,522,7520,470
adapt_class,train0,1,2,1,0,21,9501,9502,9317,100,1600,0,100,0,408,59,45,4080,8475,127296,119808,468,9,0,4,27,0,1,0,0,6,51,0,287,45,450,135,45,0,6,1,519,7488,468
adapt_class,train0,1,2,1,0,22,9938,9939,9754,118,1888,0,118,0,425,74,51,4250,8787,131920,124160,485,15,0,4,28,3,1,0,0,6,57,0,313,51,510,153,51,0,9,1,542,7760,485
adapt_class,train0,1,2,1,0,23,10751,10754,10567,128,2048,0,128,0,465,80,55,4650,9511,142800,134400,525,16,1,4,26,4,1,0,0,6,61,0,337,55,550,165,55,0,10,3,586,8400,525
adapt_class,train0,1,2,1,0,24,9497,9498,9313,106,1696,0,106,0,407,58,46,4070,8458,127024,119552,467,5,0,4,34,7,1,0,0,6,52,0,277,46,460,138,46,0,13,1,519,7472,467
adapt_class,train0,1,2,1,0,25,9519,9520,9335,100,1600,0,100,0,409,63,46,4090,8494,127568,120064,469,13,0,4,31,3,1,0,0,6,52,0,267,46,460,138,46,0,9,1,521,7504,469
adapt_class,train0,1,2,1,0,26,10383,10384,10199,120,1920,0,120,0,449,83,52,4490,9220,138448,130304,509,23,1,4,39,8,1,0,0,6,58,0,304,52,520,156,52,0,14,1,567,8144,509
adapt_class,train0,1,2,1,0,27,9453,9454,9269,98,1568,0,98,0,406,58,45,4060,8439,126752,119296,466,9,0,4,24,2,1,0,0,6,51,0,273,45,450,135,45,0,8,1,517,7456,466
adapt_class,train0,1,2,1,0,28,9568,9571,9384,100,1600,0,100,0,411,62,46,4110,8530,128112,120576,471,12,0,4,25,2,1,0,0,6,52,0,281,46,460,138,46,0,8,3,523,7536,471
adapt_class,train0,1,2,1,0,29,9409,9410,9225,96,1536,0,96,0,404,57,45,4040,8403,126208,118784,464,9,0,4,21,5,1,0,0,6,51,0,262,45,450,135,45,0,11,1,515,7424,464
adapt_class,train0,1,2,1,0,30,10621,10624,10437,128,2048,0,128,0,459,89,55,4590,9403,141168,132864,519,25,3,4,33,0,1,0,0,6,61,0,319,55,550,165,55,0,6,3,580,8304,519
adapt_class,train0,1,2,1,0,31,10370,10371,10186,124,1984,0,124,0,444,82,55,4440,9133,137088,129024,504,20,1,4,26,0,1,0,0,6,61,0,338,55,550,165,55,0,6,1,565,8064,504
adapt_class,train0,1,3,0,0,0,9161,9162,8907,131,2096,35,96,0,395,54,44,3950,8240,123760,116480,455,6,0,4,0,0,1,35,35,6,50,0,128,44,440,132,44,0,6,1,505,7280,455
adapt_class,train0,1,3,0,0,1,9181,9182,8997,96,1536,0,96,0,398,57,46,3980,8296,124576,117248,458,9,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,510,7328,458
adapt_class,train0,1,3,0,0,2,9091,9092,8907,92,1472,0,92,0,394,54,45,3940,8223,123488,116224,454,8,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,505,7264,454
adapt_class,train0,1,3,0,0,3,9361,9362,9177,96,1536,0,96,0,407,59,47,4070,8459,127024,119552,467,11,0,4,0,0,1,0,0,6,53,0,131,47,470,141,47,0,6,1,520,7472,467
adapt_class,train0,1,3,0,0,4,9147,9148,8963,96,1536,0,96,0,396,59,46,3960,8260,124032,116736,456,11,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,508,7296,456
adapt_class,train0,1,3,0,0,5,9199,9200,9015,94,1504,0,94,0,399,56,46,3990,8314,124848,117504,459,9,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,511,7344,459
adapt_class,train0,1,3,0,0,6,9309,9310,9125,92,1472,0,92,0,406,51,45,4060,8439,126752,119296,466,5,0,4,0,0,1,0,0,6,51,0,131,45,450,135,45,0,6,1,517,7456,466
adapt_class,train0,1,3,0,0,7,9325,9326,9141,100,1600,0,100,0,406,62,46,4060,8440,126752,119296,466,12,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,518,7456,466
adapt_class,train0,1,3,0,0,8,9291,9292,9107,96,1536,0,96,0,403,54,47,4030,8387,125936,118528,463,6,0,4,0,0,1,0,0,6,53,0,133,47,470,141,47,0,6,1,516,7408,463
adapt_class,train0,1,3,0,0,9,10455,10456,10271,122,1952,0,122,0,460,81,54,4600,9420,141440,133120,520,20,1,4,0,0,1,0,0,6,60,0,152,54,540,162,54,0,6,1,580,8320,520
adapt_class,train0,1,3,0,0,10,9251,9252,9067,96,1536,0,96,0,403,57,45,4030,8385,125936,118528,463,9,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,514,7408,463
adapt_class,train0,1,3,0,0,11,9489,9490,9305,106,1696,0,106,0,414,64,47,4140,8585,128928,121344,474,11,0,4,0,0,1,0,0,6,53,0,133,47,470,141,47,0,6,1,527,7584,474
adapt_class,train0,1,3,0,0,12,9215,9216,9031,94,1504,0,94,0,401,56,45,4010,8349,125392,118016,461,9,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,512,7376,461
adapt_class,train0,1,3,0,0,13,10531,10532,10347,124,1984,0,124,0,463,84,55,4630,9475,142256,133888,523,22,1,4,0,0,1,0,0,6,61,0,157,55,550,165,55,0,6,1,584,8368,523
adapt_class,train0,1,3,0,0,14,9657,9658,9473,110,1760,0,110,0,420,68,50,4200,8696,130560,122880,480,13,2,4,0,0,1,0,0,6,56,0,142,50,500,150,50,0,6,1,536,7680,480
adapt_class,train0,1,3,0,0,15,9291,9292,9107,94,1504,0,94,0,405,52,45,4050,8421,126480,119040,465,5,0,4,0,0,1,0,0,6,51,0,131,45,450,135,45,0,6,1,516,7440,465
adapt_class,train0,1,3,0,0,16,9271,9272,9087,96,1536,0,96,0,403,57,46,4030,8386,125936,118528,463,9,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,515,7408,463
adapt_class,train0,1,3,0,0,17,9381,9382,9197,102,1632,0,102,0,409,59,46,4090,8494,127568,120064,469,8,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,521,7504,469
adapt_class,train0,1,3,0,0,18,9273,9274,9089,102,1632,0,102,0,402,61,47,4020,8369,125664,118272,462,10,1,4,0,0,1,0,0,6,53,0,133,47,470,141,47,0,6,1,515,7392,462
adapt_class,train0,1,3,0,0,19,9513,9514,9329,114,1824,0,114,0,413,69,49,4130,8569,128656,121088,473,12,1,4,0,0,1,0,0,6,55,0,141,49,490,147,49,0,6,1,528,7568,473
adapt_class,train0,1,3,0,0,20,9311,9312,9127,106,1696,0,106,0,405,61,46,4050,8422,126480,119040,465,8,0,4,0,0,1,0,0,6,52,0,134,46,460,138,46,0,6,1,517,7440,465
adapt_class,train0,1,3,0,0,21,9253,9254,9069,96,1536,0,96,0,403,57,45,4030,8385,125936,118528,463,9,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,514,7408,463
adapt_class,train0,1,3,0,0,22,9681,9682,9497,114,1824,0,114,0,420,70,51,4200,8697,130560,122880,480,13,0,4,0,0,1,0,0,6,57,0,149,51,510,153,51,0,6,1,537,7680,480
adapt_class,train0,1,3,0,0,23,10425,10426,10241,128,2048,0,128,0,457,80,55,4570,9367,140624,132352,517,16,1,4,0,0,1,0,0,6,61,0,159,55,550,165,55,0,6,1,578,8272,517
adapt_class,train0,1,3,0,0,24,9257,9258,9073,102,1632,0,102,0,402,56,46,4020,8368,125664,118272,462,5,0,4,0,0,1,0,0,6,52,0,134,46,460,138,46,0,6,1,514,7392,462
adapt_class,train0,1,3,0,0,25,9251,9252,9067,96,1536,0,96,0,403,59,45,4030,8385,125936,118528,463,11,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,514,7408,463
adapt_class,train0,1,3,0,0,26,10053,10054,9869,116,1856,0,116,0,442,80,50,4420,9092,136544,128512,502,22,1,4,0,0,1,0,0,6,56,0,142,50,500,150,50,0,6,1,558,8032,502
adapt_class,train0,1,3,0,0,27,9215,9216,9031,94,1504,0,94,0,401,56,45,4010,8349,125392,118016,461,9,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,512,7376,461
adapt_class,train0,1,3,0,0,28,9343,9344,9159,100,1600,0,100,0,407,61,46,4070,8458,127024,119552,467,11,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,519,7472,467
adapt_class,train0,1,3,0,0,29,9197,9198,9013,94,1504,0,94,0,400,56,45,4000,8331,125120,117760,460,9,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,511,7360,460
adapt_class,train0,1,3,0,0,30,10401,10402,10217,128,2048,0,128,0,456,88,55,4560,9349,140352,132096,516,24,3,4,0,0,1,0,0,6,61,0,153,55,550,165,55,0,6,1,577,8256,516
adapt_class,train0,1,3,0,0,31,10043,10044,9859,118,1888,0,118,0,438,79,53,4380,9023,135456,127488,498,20,1,4,0,0,1,0,0,6,59,0,153,53,530,159,53,0,6,1,557,7968,498
adapt_class,train0,1,3,1,0,0,9387,9389,9062,131,2096,35,96,0,395,54,44,3950,8240,123760,116480,455,6,0,4,50,4,1,47,94,6,50,0,279,44,440,132,44,0,10,2,505,7280,455
adapt_class,train0,1,3,1,0,1,9321,9324,9137,96,1536,0,96,0,398,57,46,3980,8296,124576,117248,458,9,0,4,30,0,1,0,0,6,52,0,270,46,460,138,46,0,6,3,510,7328,458
adapt_class,train0,1,3,1,0,2,9236,9237,9052,92,1472,0,92,0,394,54,45,3940,8223,123488,116224,454,8,0,4,29,2,1,0,0,6,51,0,272,45,450,135,45,0,8,1,505,7264,454
adapt_class,train0,1,3,1,0,3,9508,9509,9324,96,1536,0,96,0,407,59,47,4070,8459,127024,119552,467,11,0,4,25,3,1,0,0,6,53,0,275,47,470,141,47,0,9,1,520,7472,467
adapt_class,train0,1,3,1,0,4,9300,9301,9116,96,1536,0,96,0,396,59,46,3960,8260,124032,116736,456,11,0,4,26,1,1,0,0,6,52,0,284,46,460,138,46,0,7,1,508,7296,456
adapt_class,train0,1,3,1,0,5,9339,9340,9155,94,1504,0,94,0,399,56,46,3990,8314,124848,117504,459,9,0,4,29,0,1,0,0,6,52,0,270,46,460,138,46,0,6,1,511,7344,459
adapt_class,train0,1,3,1,0,6,9464,9467,9280,92,1472,0,92,0,406,51,45,4060,8439,126752,119296,466,5,0,4,28,3,1,0,0,6,51,0,283,45,450,135,45,0,9,3,517,7456,466
adapt_class,train0,1,3,1,0,7,9456,9457,9272,100,1600,0,100,0,406,62,46,4060,8440,126752,119296,466,12,0,4,27,3,1,0,0,6,52,0,258,46,460,138,46,0,9,1,518,7456,466
adapt_class,train0,1,3,1,0,8,9446,9447,9262,96,1536,0,96,0,403,54,47,4030,8387,125936,118528,463,6,0,4,26,0,1,0,0,6,53,0,288,47,470,141,47,0,6,1,516,7408,463
adapt_class,train0,1,3,1,0,9,10621,10624,10437,122,1952,0,122,0,460,81,54,4600,9420,141440,133120,520,20,1,4,22,1,1,0,0,6,60,0,317,54,540,162,54,0,7,3,580,8320,520
