g,a,b,cal_jobs_saved,probe_jobs_saved,weight_squared_change,score,nodes
4,4,13,0,0,576897,,114
4,4,14,0,0,650880,,116
4,4,15,0,0,569418,,114
4,5,6,0,0,468092,,114
4,5,7,0,0,548479,,115
4,5,8,0,0,518331,,114
4,5,9,0,0,656564,,113
4,5,10,0,0,616775,,113
4,5,11,0,0,502158,,112
4,5,12,0,0,576620,,114
4,5,13,0,0,497987,,114
4,5,14,0,0,631058,,116
4,5,15,0,0,545192,,114
4,6,7,0,0,509287,,115
4,6,8,0,0,470177,,115
4,6,9,0,0,578868,,114
4,6,10,0,0,539529,,114
4,6,11,0,0,490166,,115
4,6,12,0,0,549572,,115
4,6,13,0,0,611571,,114
4,6,14,0,0,549952,,116
4,6,15,0,0,559858,,114
4,7,8,0,0,477334,,115
4,7,9,0,0,560325,,112
4,7,10,0,0,572558,,115
4,7,11,0,0,529175,,115
4,7,12,1,3,577965,577965.0,113
4,7,13,0,0,565452,,115
4,7,14,0,0,524683,,116
4,7,15,0,0,561743,,115
4,8,9,0,0,574337,,109
4,8,10,0,0,601362,,115
4,8,11,0,0,578501,,114
4,8,12,0,0,543073,,109
4,8,13,0,0,482276,,115
4,8,14,0,0,562619,,116
4,8,15,0,0,570463,,115
4,9,10,0,0,603339,,114
4,9,11,0,0,600638,,114
4,9,12,0,0,577438,,101
4,9,13,0,0,660933,,114
4,9,14,1,0,610142,610142.0,114
4,9,15,0,0,692450,,114
4,10,11,0,0,616929,,115
4,10,12,0,0,489361,,115
4,10,13,0,0,632754,,114
4,10,14,0,0,539481,,116
4,10,15,0,0,663883,,114
4,11,12,0,0,586054,,114
4,11,13,0,0,511215,,115
4,11,14,0,0,590474,,116
4,11,15,0,0,542200,,115
4,12,13,0,0,674257,,115
4,12,14,0,0,527248,,116
4,12,15,0,0,624778,,115
4,13,14,0,0,649671,,116
4,13,15,0,0,548245,,113
4,14,15,0,0,647384,,116
5,1,2,0,0,527520,,96
5,1,3,0,0,523449,,96
5,1,4,0,0,436866,,96
5,1,5,0,0,537579,,96
5,1,6,0,0,505612,,96
5,1,7,0,0,647945,,96
5,1,8,0,0,540441,,96
5,1,9,0,0,533925,,96
5,1,10,0,0,684421,,96
5,1,11,0,0,537576,,96
5,1,12,0,0,687075,,96
5,1,13,0,0,449047,,96
5,1,14,0,0,518995,,96
5,1,15,0,0,495624,,96
5,2,3,0,0,538737,,96
5,2,4,0,0,505612,,96
5,2,5,0,0,519049,,96
5,2,6,0,0,603782,,96
5,2,7,0,0,704795,,96
5,2,8,0,0,555165,,95
5,2,9,0,0,527765,,94
5,2,10,0,0,679655,,96
5,2,11,0,0,504998,,94
5,2,12,0,0,718019,,96
5,2,13,0,0,581881,,96
5,2,14,0,0,497439,,95
5,2,15,0,0,562442,,96
5,3,4,0,0,462651,,96
5,3,5,0,0,504998,,96
5,3,6,0,0,580197,,96
5,3,7,0,0,678084,,96
5,3,8,0,0,544396,,95
5,3,9,0,0,522454,,96
5,3,10,0,0,691472,,93
5,3,11,0,0,524895,,93
5,3,12,0,0,714390,,96
5,3,13,0,0,505612,,96
5,3,14,0,0,482472,,96
5,3,15,0,0,516853,,96
5,4,5,0,0,436899,,93
5,4,6,0,0,527520,,92
5,4,7,0,0,630321,,93
5,4,8,0,0,534107,,95
5,4,9,0,0,488787,,96
5,4,10,0,0,591807,,96
5,4,11,0,0,448356,,96
5,4,12,0,0,679655,,93
5,4,13,0,0,538737,,95
5,4,14,0,0,447289,,95
5,4,15,0,0,504998,,87
5,5,6,0,0,532711,,94
5,5,7,0,0,593492,,94
5,5,8,0,0,526680,,95
5,5,9,0,0,545174,,96
5,5,10,0,0,650706,,96
5,5,11,0,0,538737,,96
5,5,12,0,0,659886,,93
5,5,13,0,0,448356,,96
5,5,14,0,0,522454,,95
5,5,15,0,0,462651,,93
5,6,7,0,0,618285,,94
5,6,8,0,0,585663,,95
5,6,9,0,0,576343,,96
5,6,10,0,0,610495,,96
5,6,11,0,0,563772,,96
5,6,12,0,0,684421,,94
5,6,13,0,0,523449,,95
5,6,14,0,0,526053,,95
5,6,15,0,0,537576,,92
5,7,8,0,0,609704,,95
5,7,9,0,0,605762,,96
5,7,10,0,0,593394,,96
5,7,11,0,0,632973,,96
5,7,12,0,0,629062,,94
5,7,13,0,0,612690,,96
5,7,14,0,0,540044,,95
5,7,15,0,0,587673,,93
5,8,9,0,0,534336,,95
5,8,10,0,1,664784,,91
5,8,11,0,0,540693,,92
5,8,12,0,0,726786,,94
5,8,13,0,0,559620,,96
5,8,14,0,0,481376,,93
5,8,15,0,0,549581,,95
5,9,10,0,0,666070,,96
5,9,11,0,0,543151,,95
5,9,12,0,0,703456,,96
5,9,13,0,0,526182,,96
5,9,14,0,0,504998,,95
5,9,15,0,0,538609,,96
5,10,11,0,0,647269,,93
5,10,12,0,0,505612,,94
5,10,13,0,0,606838,,96
5,10,14,0,0,609670,,96
5,10,15,0,0,588707,,96
5,11,12,0,0,670649,,96
5,11,13,0,0,520297,,96
5,11,14,0,0,527765,,90
5,11,15,0,0,505612,,96
5,12,13,0,0,691472,,96
5,12,14,0,0,631230,,95
5,12,15,0,0,647269,,93
5,13,14,0,0,460288,,96
5,13,15,0,0,524895,,95
5,14,15,0,0,488787,,95
