fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
real_7,0,0,0,19898,1848,1536,16504,0,0,3444,0,0,0,0,0,0,0,0,0,16510,13125,0
real_7,0,0,1,18050,0,1536,16504,0,0,3444,0,0,0,0,0,0,0,0,0,16510,13125,0
real_7,0,1,0,21377,1848,1536,17212,0,0,3444,0,0,0,0,0,0,0,0,0,17221,13567,269
real_7,0,1,1,19372,0,1536,17211,0,0,3444,0,0,0,0,0,0,0,0,0,17218,13566,267
real_7,1,0,0,20066,1848,1536,16672,216,68,3396,0,0,0,3,0,0,0,0,0,16678,13293,0
real_7,1,0,1,18218,0,1536,16672,216,68,3396,0,0,0,3,0,0,0,0,0,16678,13293,0
real_7,1,1,0,21542,1848,1536,17377,216,68,3396,0,0,0,3,0,0,0,0,0,17386,13732,269
real_7,1,1,1,19537,0,1536,17376,216,68,3396,0,0,0,3,0,0,0,0,0,17383,13729,269
real_7,2,0,0,20282,1848,1536,16888,432,176,3396,0,0,0,3,0,0,0,0,0,16894,13509,0
real_7,2,0,1,18434,0,1536,16888,432,176,3396,0,0,0,3,0,0,0,0,0,16894,13509,0
real_7,2,1,0,21762,1848,1536,17597,432,176,3396,0,0,0,3,0,0,0,0,0,17606,13949,272
real_7,2,1,1,19757,0,1536,17596,432,176,3396,0,0,0,3,0,0,0,0,0,17603,13949,269
zero,0,0,0,12112,1848,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
zero,0,0,1,10264,0,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
zero,0,1,0,13402,1848,1536,9237,0,0,0,0,0,0,0,0,0,0,0,0,9246,5592,269
zero,0,1,1,11397,0,1536,9236,0,0,0,0,0,0,0,0,0,0,0,0,9243,5589,269
